bootstrap_sample,selected_trace_indices,fit_start_ns,fit_stop_ns,ambient_temperature_K,S_e_mW_per_K,C_th_pJ_per_K,tau_th_ns,fit_rmse_K
143.0,"2,2,2",17.0,35.0,314.5138283199617,0.004093761051265076,0.031147151737080186,7.608444007120281,1.3623567377454038
144.0,"0,2,0",15.0,35.0,314.2989549928432,0.0036860061124657723,0.04572395257246742,12.404741386031004,1.1857720506184293
145.0,"0,2,2",13.0,34.0,314.41120978996565,0.003676096559318078,0.05306382579378042,14.434829155745529,1.3343507277688371
146.0,"1,0,1",15.0,33.0,314.48828542781075,0.0034448119025285292,0.08136779169952651,23.62038741209692,1.0514194499916847
147.0,"2,1,1",15.0,35.0,314.2725222939196,0.0036825333136249142,0.05307744314794582,14.413296127306138,0.9374535433298259
148.0,"1,1,1",14.0,33.0,314.26234821272556,0.003737054883913149,0.021490838653421537,5.750742047148643,1.0551561608075712
149.0,"1,2,0",17.0,36.0,314.40440245191365,0.0034762000966971716,0.045452874834420454,13.075448354542772,1.0597086327246994
150.0,"1,2,2",15.0,35.0,314.2942886987242,0.0036246125180656942,0.04157318479178217,11.469690783380083,1.1333569993778045
151.0,"2,2,2",15.0,35.0,314.4625894179504,0.003686465480512763,0.07646402437497894,20.741825680771953,1.374894283910779
152.0,"0,0,2",14.0,33.0,314.3559569193847,0.0036522235851334205,0.037188545369330896,10.182439410530325,1.2507678120802803
153.0,"0,2,2",17.0,36.0,314.4616976710434,0.0035562718231439746,0.0671294833554625,18.876364545192637,1.1593515047480263
154.0,"1,2,0",17.0,35.0,314.341805738336,0.0034104923153065467,0.0577518834964523,16.933591445803145,0.9300772986715377
155.0,"2,1,2",14.0,34.0,314.54301084083306,0.0035827713050097824,0.05475304934365771,15.282317703922834,1.0891438501328765
156.0,"0,1,2",13.0,37.0,314.3844204322724,0.00352977479481597,0.04399575855822754,12.464182877287877,1.1824921375733304
157.0,"2,2,0",16.0,37.0,314.52062524123926,0.0037296541751328733,0.04518768138539989,12.115783196920672,1.158473009476998
158.0,"1,0,2",15.0,36.0,314.42347119693216,0.0037959996047244138,0.053193517783636346,14.013046186156847,1.1136109077575798
159.0,"1,1,2",14.0,37.0,314.41250919890234,0.003573962800093211,0.05584295340835066,15.624939746685177,1.183947786392196
160.0,"0,0,2",15.0,36.0,314.3327038178655,0.0037407715970342393,0.06169571251853461,16.49277720335779,1.2895597216225563
161.0,"1,0,2",16.0,37.0,314.3015027333923,0.0038379016721270705,0.04133872128114907,10.771177797850672,1.2257326878344836
162.0,"0,2,0",16.0,33.0,314.4539862570239,0.003613165482477311,0.05811526458541435,16.084307476990652,1.0059743067226932
163.0,"0,0,2",16.0,37.0,314.3702039541844,0.00404433506592702,0.03821082734704549,9.447987549045227,1.3896482512423005
164.0,"2,2,1",17.0,37.0,314.5311935571913,0.0038034827556319337,0.038567986887465225,10.140176613225451,1.026594925035105
165.0,"0,2,2",15.0,34.0,314.31589575598883,0.003490666611917306,0.06361046915872115,18.223014750693153,1.2774382905705362
166.0,"0,0,1",13.0,36.0,314.43904487287267,0.0035695590628948017,0.04589536377864746,12.85743224022402,1.3877673478143033
167.0,"1,1,2",16.0,37.0,314.3741787716274,0.0035754707030535905,0.04458989576406188,12.471056111851338,0.9687814403252132
168.0,"1,2,0",14.0,33.0,314.42478889753954,0.0035697359522931034,0.030974518873633037,8.676977593744946,1.1642377403874147
169.0,"1,2,2",14.0,35.0,314.35847526899573,0.00385562832892893,0.03889887341947962,10.088854552608158,1.4667740585348885
170.0,"2,0,0",15.0,36.0,314.44335430074534,0.004002658232761011,0.04537048516537607,11.335088465467052,1.6308749863030145
171.0,"0,0,0",13.0,37.0,314.5092589875284,0.0036040407672721553,0.08453673808619018,23.456099291067336,1.492026566978008
