I_target_uA,C_pF,C_th_mW_ns_per_K,S_e_mW_per_K,T0_K,T_init_K,R_init_ohm,R_fast_ohm,tau_init_ns,tau_fast_ns,recommended_dt_ns,dt_ns,dt_over_tau_fast,dt_over_tau_init,dT_step_over_reversal,estimated_steps,feasible,turn_count,pulse_turn_count,n_cycles,V_pp_mV,V_std_mV,baseline_mean_mV,plateau_mean_mV,plateau_std_mV,onset_overshoot_mV,onset_undershoot_mV,turnoff_undershoot_mV,dominant_freq_MHz,spectral_purity,period_cv,amplitude_cv,late_to_early_vpp,unstable,zigzag,oscillatory,trace_score
650.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,19894.941646451316,1.0,0.0,0.0,0.0,3.742887319444762,0.3871838303637736,0.0,80.5661795285924,1.303453678793609e-06,-0.0021172889373701764,80.5661795285924,80.56443492538554,3.5715463245803183,0.8245648807121541,inf,inf,1.357418576850337e-10,0.0,0.0,0.0,0.06750000000916256
850.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,19894.941646451316,1.0,0.0,0.0,0.0,4.101454687006026,0.4066693083831938,0.0,103.69807376647411,2.320793240346372e-07,-0.0009112034551037596,103.69807376647411,103.69586378877227,3.5715463245803183,0.8339859842147358,inf,inf,8.58932050399078e-12,0.0,0.0,0.0,0.06750000000057978
1050.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,19894.941646451316,1.0,1.0,1.0,0.0,3.9585562617331362,0.36907750654779886,0.0,125.63968311587575,3.7269023862474e-08,2.8278444617058085e-05,125.63968311587575,125.63705693268699,3.5715463245803183,0.8475209053555723,inf,inf,0.0,0.0,0.0,0.0,0.0675
1250.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,19894.941646451316,1.0,2.0,2.0,1.0,3.3376713150802573,0.28247217614681275,0.0,146.24722892165195,3.144563090599993e-08,0.009993791086515103,146.24722892165195,146.2442395823915,3.5715463245803183,0.8621603138270802,inf,0.0,0.0,0.0,0.0,0.0,0.09
1450.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,19894.941646451316,1.0,3.0,3.0,1.0,2.380135326067432,0.1651252615897723,0.0,165.43509766904833,8.262068829348388e-09,0.10434024699625866,165.43509766904833,165.43179917386243,3.5715463245803183,0.7176127017029353,0.0,0.9988994436511732,0.0,0.0,0.0,0.0,0.18000000000000002
1650.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,19894.941646451316,1.0,4.0,4.0,2.0,1.3310014487996966,0.08155731105656634,0.0,183.1691409462051,4.711682640348971e-08,0.417462109685971,183.1691409462051,183.16558589113413,3.5715463245803183,0.5982066826027433,2.332707304497866e-16,1.4098777638206828,3.096276019177178e-12,0.0,0.0,0.0,0.20250000000020896
1850.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,19894.941646451316,1.0,4.0,4.0,2.0,1.0830490553941274,0.17073245741361837,0.0,199.45754071782537,2.712255037366247e-08,1.077736179786342,199.45754071782537,199.45377859601064,3.5715463245803183,0.7619824497267356,0.0009336724767613622,1.7206853092013494,3.149077241388058e-13,0.0,0.0,0.0,0.20241604786091436
50.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,12062.28170190409,1.0,0.0,0.0,0.0,0.16320947443653688,0.0471260337390312,0.0,1.247437407952516,0.02563015749474338,-0.06061243598271049,1.247437407952516,1.247437407952453,3.572104270879586,0.7495379835031669,inf,inf,1.1757013231545486,0.0,0.0,0.0,0.135
250.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,12062.28170190409,1.0,0.0,0.0,0.0,0.8095183561028021,0.2337503074749769,0.0,6.233980874383705,0.12711184162524702,-0.30079380408302114,6.233980874383705,6.233980874383401,3.572104270879586,0.7495380297777033,inf,inf,1.1733836021822321,0.0,0.0,0.0,0.135
450.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,12062.28170190409,1.0,0.0,0.0,0.0,1.4299048042493112,0.41290957552215257,0.0,11.20775572701501,0.22446856234875598,-0.5319524817247299,11.20775572701501,11.207755727014504,3.572104270879586,0.7495382129764856,inf,inf,1.1680059886119079,0.0,0.0,0.0,0.135
