evaluation,stage,C_pF,C_th_pJ_per_K,S_e_mW_per_K,T0_K,Tc_K,w_K,beta_per_K,gamma,objective_total,objective_waveform,objective_mean_voltage,objective_amplitude,objective_relative_amplitude,objective_spectrum,objective_frequency,objective_classification,objective_false_positive,objective_sustain,objective_edge,objective_prior,best_total_so_far,global_evaluations,fit_mode
329,global,9.664650448018408,0.046294297380122376,0.003564256518575643,314.36735167054053,333.42601175417025,7.072210639721239,0.3041989231180097,0.5496716544000395,535.0364946686211,1.3553682325854755,0.8697152657213227,14.578322412136794,1.6431347307578554,0.6239278862673997,1.4045452681202497,0.2,0.0,0.9029134389967653,1.4959917605559399,0.0,38.975691012816384,352,relaxed
330,global,4.809437267911621,0.04764676813684663,0.003658525466310319,314.4309475049311,333.1831674089696,6.82330453563155,0.29626773502358694,1.0408573693743666,1389.4597837124695,0.6321049836245336,0.7581591773710472,2.788456415089361,0.6567856710872653,0.5327466096485682,2.2,0.55,0.0,0.4829060513886647,1.4131729027211795,0.0,38.975691012816384,352,relaxed
331,global,8.48326135712484,0.03986041697898397,0.003596920508279841,314.3553233097827,333.49766823986744,7.164839694498734,0.31706673527138773,0.4569150731545413,412.38136374874034,1.354675519765998,0.9496738545527235,14.972566708806056,1.6332541142810517,0.6208345343060647,1.8325053138648326,0.15,0.0,2.089993092119683,1.4366893205960969,0.0,38.975691012816384,352,relaxed
332,global,11.410746599520236,0.05621015462442876,0.0037721581247834265,314.3674571808461,333.338734189082,7.027746734597508,0.3069957841148582,1.1384699035660313,1062.3205164271408,1.9960975339831784,0.5871664643391321,27.40591795699543,2.6415583144507253,0.767272369953292,3.350197543494538,0.3,0.1,1.4314257484158326,1.6070426702847207,0.0,38.975691012816384,352,relaxed
333,global,4.695456351036892,0.02917048417547781,0.003690907558681396,314.3401525888637,333.5577978717158,6.942125494827005,0.3043307759522796,0.20350579752444764,414.25022728800366,1.3062505662617805,0.9840858681079527,11.79670610313686,1.4670725190493878,0.8157084325179959,6.061946050674132,0.15,0.0,0.32239311265441845,1.2953146840744318,0.0,38.975691012816384,352,relaxed
334,global,11.343413838991378,0.0492727246928341,0.003785427961255238,314.34377971835016,333.37619528533816,7.25549038296364,0.3148229244791415,1.5636902549637732,1329.1291789014706,2.3052504871054116,0.5353858610539778,39.648865219149485,2.9427414779638545,0.7511744096489055,3.7751611241359493,0.35,0.15,2.1120276110778478,1.568398377603063,0.0,38.975691012816384,352,relaxed
335,global,8.861551684652206,0.04519464580457548,0.0037669986205441847,314.3468582976853,333.49366707517385,7.259607639464717,0.317967474628124,0.2407236608331449,795.5017511155619,1.4146960442995355,0.9374582953799987,17.08229041313778,2.1639415345851587,0.582725273826293,1.7412266758292934,0.2,0.1,2.974310558055806,1.489674275375029,0.0,38.975691012816384,352,relaxed
336,global,8.153886855819458,0.053536339289034875,0.003692075616971045,314.4517147221122,333.2389362149052,6.863463813337779,0.30700533560639526,0.1154980427285981,281.6175418735619,1.2352473092759426,1.0278792478730936,10.39639926388518,1.4144964117683947,0.6340760260047095,2.324882035666553,0.1,0.0,2.106091470579988,1.5301345882138182,0.0,38.975691012816384,352,relaxed
337,global,8.145274500054034,0.024282910773511204,0.0038764728864763578,314.39634166642486,333.3902458688499,7.193551246465669,0.3178206518032247,0.7559622348690589,951.2758061623625,2.298856803807964,0.46187036537419657,37.45683694450931,2.9163847664716194,0.6595102356670488,1.1597132310526144,0.2,0.15,6.965662490034832,1.4004430256002112,0.0,38.975691012816384,352,relaxed
338,global,1.6701336280007197,0.03514428556990538,0.0034498001647355466,314.33890526058576,333.67066593367235,7.253989321261939,0.29590183042523543,1.137293669673297,1402.607334697593,0.492690615231054,0.5611560334287724,0.8443255377046224,2.1507128480063473,0.7086894996366099,2.2,0.55,0.0,0.6597297231139924,0.9948670940610256,0.0,38.975691012816384,352,relaxed
339,global,8.63413956185272,0.05538150792017883,0.0038927933161019444,314.4369512301557,333.3368753069274,7.0589108569790975,0.3106130049325462,0.23105948299493662,287.63707465785944,1.3521428387940069,0.8811395445559633,14.208568975912367,1.743183177113312,0.6494722442273215,1.3857662198351077,0.1,0.0,2.9055533139667182,1.565634720964654,0.0,38.975691012816384,352,relaxed
340,global,5.3591300544427245,0.035047834110365925,0.0035261509975619177,314.3024264322781,333.3519424391723,7.027128858243135,0.317577090718147,0.2929518541292939,403.29864934813736,1.015038759010515,1.1246662550961282,7.51577924311527,1.1828200835535,0.6650782294433538,4.026308618362383,0.15,0.0,0.5941092537284831,1.3732227339414438,0.0,38.975691012816384,352,relaxed
341,global,6.308276285219861,0.03607505597479685,0.003972742845929305,314.3906703262999,333.30648675553425,6.975309898169627,0.31896155365212686,0.3111996466640379,422.77329227082515,1.291674862015991,0.920876112497033,16.797102429129048,2.043367498167954,0.637897642341518,4.224127060103679,0.15,0.0,1.7815694465919865,1.3823215765888806,0.0,38.975691012816384,352,relaxed
342,global,10.091313264557904,0.08184321501200323,0.003580700044243092,314.3805492449297,333.58856125055365,7.0959092336500085,0.2979882806966558,0.24923189250959332,778.6981724312784,1.0871256159614473,1.116176028780884,11.559410637251435,1.315927039124303,0.6356746614836843,1.668903665352974,0.3,0.0,0.3218391730236513,1.7973634215860326,0.0,38.975691012816384,352,relaxed
343,global,10.219131709464358,0.062371220793565,0.0034751279891014134,314.39265106220097,333.76801141157455,7.080687732171988,0.31688655676070904,0.9386865241732778,1038.6055671762151,1.4577644291433056,0.7877887698215704,15.62668845258985,1.7413925212815087,0.7027615509594571,2.3594730607590937,0.4,0.0,0.5183975047598093,1.638920476986818,0.0,38.975691012816384,352,relaxed
344,global,5.978624355392698,0.052165987299195964,0.0038501193193480115,314.37867645706723,333.2155644861432,6.778710830329898,0.3035271027013337,0.2775824826270781,645.1486320539785,0.8323783750201766,0.9872495530917487,4.94492276496717,1.0398206765006437,0.49446552830182683,1.4622408421847237,0.25,0.0,1.6196756263217895,1.496793383615835,0.0,38.975691012816384,352,relaxed
345,global,6.608879161521138,0.05091563270524682,0.003718816859648066,314.3241215430562,333.42576888504306,6.9599332160402785,0.3160135565762101,0.13457241529280783,152.8777197101572,1.1298458217457026,0.961993923460452,8.00487350766232,1.1035993014372079,0.7081023599510381,3.2309841277273526,0.05,0.0,2.0648993000005027,1.4995711075939122,0.0,38.975691012816384,352,relaxed
346,global,5.60399479332704,0.039868341882137004,0.0035342864945061454,314.3274990342139,333.64797382892317,6.985793374030724,0.31920186854984245,0.1155498818779419,280.4709203321661,1.1539289912013422,1.0983190350779382,7.495371786052091,1.0551142799570694,0.7923511125629605,5.822037612132733,0.1,0.0,0.4475827339133275,1.4143937240130064,0.0,38.975691012816384,352,relaxed
347,global,5.979946545615405,0.042623553956122266,0.0037236870662419107,314.3292565211175,333.2067024784236,6.986773050042878,0.31896248422821816,0.2133908664084183,404.0960248065124,1.116163644646788,1.0338347133293728,9.006160212733164,1.143896670331443,0.6788805501038472,3.6691413963258044,0.15,0.0,1.0012347778417172,1.4246214581746675,0.0,38.975691012816384,352,relaxed
