fit_mode,trace_index,split,source_file,nominal_drive_mV,current_step_uA,measured_oscillation,predicted_oscillation,measured_frequency_MHz,predicted_frequency_MHz,measured_mean_mV,predicted_mean_mV,measured_vpp_mV,predicted_vpp_mV,phase_tolerant_plateau_rmse_mV,edge_rmse_mV,waveform_component,mean_voltage_component,amplitude_component,spectrum_component,frequency_component,classification_component,edge_component
baseline,10,train,550mv0_converted.csv,550.0,419.0559644140832,True,False,52.63157894736842,,186.41220796353232,208.28988541804546,40.08000000000001,3.187103683369429,12.848409538564718,112.14070393473867,0.25696819077129435,0.1914531083214849,0.5444343194518618,1.6343636072950098,4.0,1.0,1.1214070393473867
baseline,11,test,600mv0_converted.csv,600.0,457.8085803363978,True,False,55.55555555555556,,186.8872940631841,193.96417346197384,31.933300000000003,2.161652401401028,9.710392543973953,109.819578260495,0.19420785087947906,0.020032888810005867,0.3545404002940657,1.5977447739250972,4.0,1.0,1.09819578260495
baseline,12,train,650mv0_converted.csv,650.0,494.4853744265939,True,False,58.8235294117647,,184.9093897164179,181.49773072601485,27.439999999999998,2.3726069248862416,7.1188073685823765,111.79490509907654,0.14237614737164753,0.004655766826719196,0.2513496782329045,1.2382856547583094,4.0,1.0,1.1179490509907655
baseline,13,train,700mv0_converted.csv,700.0,532.8566832813709,True,False,58.8235294117647,,182.4161180746269,170.57403989628696,22.079999999999984,2.3780316202651193,5.2037277026880595,116.42089790156098,0.10407455405376119,0.05609392623276592,0.155267023214429,1.380966282979185,4.0,1.0,1.1642089790156098
baseline,14,train,750mv0_converted.csv,750.0,570.0736739678696,True,False,62.5,,181.55648223880593,161.34319849097642,19.439999999999998,1.9740801611801544,4.339817252787257,81.96679947648808,0.08679634505574514,0.16343073594810742,0.12202334232643224,1.2885252937883211,4.0,1.0,0.8196679947648807
baseline,15,test,800mv0_converted.csv,800.0,606.2950294894458,True,False,62.5,,181.56365024875626,153.31337276188134,13.893400000000014,1.3031366033580696,2.813656291097761,84.93981957504295,0.05627312582195522,0.3192312712341728,0.06340589295872877,0.8941019912381302,4.0,1.0,0.8493981957504295
baseline,16,train,850mv0_converted.csv,850.0,645.4819548424252,False,False,,,181.47794527363186,145.18079310408143,10.640000000000015,1.5253870230285145,36.3699208836034,88.74883492645512,0.727398417672068,0.5269933022477997,0.03323046788799091,0.0,0.0,0.0,0.8874883492645512
baseline,17,train,900mv0_converted.csv,900.0,682.444649204679,False,False,,,178.6636184079602,138.34787851295374,9.733300000000014,1.3860615365698834,40.37803001620516,95.69622731105865,0.8075606003241032,0.6501435533127261,0.02787055598614696,0.0,0.0,0.0,0.9569622731105865
baseline,18,train,950mv0_converted.csv,950.0,721.2714260182299,False,False,,,177.73027726368161,131.8932461483532,9.706700000000012,1.6204565076942288,45.890642855434095,96.6087041566266,0.9178128571086819,0.8404133685870341,0.026154933526743054,0.0,0.0,0.0,0.966087041566266
baseline,19,test,1000mv0_converted.csv,1000.0,756.6243660265701,False,False,,,175.6862324875622,127.186846956254,11.573300000000017,1.7528139350644238,48.53899120340987,105.75390027911298,0.9707798240681974,0.9408761587657866,0.03857677862063767,0.0,0.0,0.0,1.0575390027911298
baseline,20,train,1100mv0_converted.csv,1100.0,834.7865599618726,False,False,,,176.02852154228853,117.09952661162271,14.346699999999998,2.056500310475684,59.003609287141465,109.73448071425696,1.1800721857428293,1.3890505774153754,0.06041960336335342,0.0,0.0,0.0,1.0973448071425695
