evaluation,stage,C_pF,C_th_pJ_per_K,S_e_mW_per_K,T0_K,Tc_K,w_K,beta_per_K,gamma,objective_total,objective_waveform,objective_mean_voltage,objective_amplitude,objective_spectrum,objective_frequency,objective_classification,objective_edge,objective_prior,best_total_so_far,global_evaluations,fit_mode
29,global,0.10918535957650048,0.025657513720075333,0.0039281902988647826,314.48490535516777,333.70332511210626,6.799600202039294,0.2927248321187005,1.4592585712036832,1.2572138583040795,0.6565810951306263,1.088494454039731,2.7347430581089935,0.5729964677728868,1.8823529411764706,0.47058823529411764,0.5560653363642343,1.0964557612726402,0.8730628482670495,192,constrained
30,global,0.18872154755651496,0.030118359881298438,0.003673594510076308,314.2750169651908,333.2463117841304,7.103065755550549,0.31921579447077286,0.986085975354698,0.9420244379069962,0.4816923360066712,0.8628564489300189,0.8561265851055101,0.7564997913837582,1.8823529411764706,0.47058823529411764,0.5828808183453686,1.4532983764623442,0.8730628482670495,192,constrained
31,global,0.06588925411475888,0.040566532279481565,0.0035901414653632625,314.29553309644876,333.43683873774376,7.041189122809732,0.3189520232297687,0.510558251280787,0.9129826619991435,0.4938575793389073,0.8260688637735114,0.8399148499945267,0.7014026493233487,1.8823529411764706,0.47058823529411764,0.7036533273113544,1.0641063481505655,0.8730628482670495,192,constrained
32,global,0.07723907770374376,0.06372033483863782,0.0039698105600068576,314.3905119297112,333.7483721431615,6.839663951648843,0.28120984015700407,1.2051049413446413,0.942131400094412,0.4154388347126082,0.9981690194791487,0.790489697887618,0.6746297275944799,1.8823529411764706,0.47058823529411764,0.9965130705589431,1.2080899439983277,0.8730628482670495,192,constrained
33,global,0.050363749878036324,0.0680053050985194,0.0036751265,314.4,333.8268895740774,6.882302959338694,0.2991563242902104,0.7046062296179192,0.886465858591529,0.4697411474092005,0.8482402342028108,0.7642956812428053,0.6353314741559565,1.8823529411764706,0.47058823529411764,1.029299209573028,0.6409756754955741,0.8730628482670495,192,constrained
34,global,0.30496631800308704,0.04043631042571125,0.0038285628837134403,314.46630659706784,333.2980506323308,7.110059506529586,0.2993692977397464,0.818187488446332,0.9057583036450338,0.4540540162556024,0.8901735102739402,0.8546905162730762,0.7169284080474166,1.8823529411764706,0.47058823529411764,0.7288448766195571,0.7063190230838244,0.8730628482670495,192,constrained
35,global,0.2798818911183878,0.027557508139810054,0.0039022646303297575,314.44270434546587,333.6376319817925,6.958786414948561,0.3040616231459919,1.4033969595118045,1.1027041033257217,0.6483460035443729,1.2426768433431508,1.5099512960983696,0.6627097264519537,1.8823529411764706,0.47058823529411764,0.593510803050152,0.7902615141455694,0.8730628482670495,192,constrained
36,global,0.3030752514215427,0.03530397995870897,0.003775849282374881,314.5049864370372,333.6332988938353,6.963791596452071,0.2890114292522424,1.8554708628835697,1.8015717174870027,0.8764889627950107,1.5095014227264063,4.9661306589655,0.6002817059821286,2.247907496331866,0.5294117647058824,0.7010432239748636,1.2846464704292755,0.8730628482670495,192,constrained
37,global,0.032323113038716655,0.08832354867398742,0.003650769695239581,314.4168458769681,333.7312817825739,7.1085652075224335,0.29139572997263075,0.8269534228958115,0.8966634983370627,0.4739281880700627,0.8353763727610066,0.6302838108991685,0.599159019754102,1.8823529411764706,0.47058823529411764,1.2320075929164276,1.1874803444230901,0.8730628482670495,192,constrained
38,global,0.33740802949852644,0.03229832202351401,0.003505549932765386,314.4610945391841,333.6588832225642,6.779978323963929,0.30934472628654386,0.31791810183011804,0.9020697576728777,0.509596062905388,0.7872304000548387,0.8390323273635698,0.7083193391663585,1.8823529411764706,0.47058823529411764,0.6235835802324502,1.000215427676765,0.8730628482670495,192,constrained
