bootstrap_sample,effective_resistance_ohm,power_uW,inferred_temperature_K,ambient_temperature_K,delta_temperature_K,S_e_uW_per_K
127.0,1684.1746526670984,60.66175298226572,330.34313665768076,314.4957454970755,15.847391160605241,3.8278699861377645
128.0,1678.1705139115325,60.74514730067133,331.4293594639705,314.28172326810835,17.147636195862162,3.542479360235642
129.0,1681.7641132811898,60.681958232649976,331.42379359806074,314.42478889753954,16.999004700521198,3.569735952293103
130.0,1680.2513607973563,60.49693311484089,330.95878872575287,314.5396030545285,16.41918567122434,3.6845270116450166
131.0,1683.0483517454409,60.783450524757136,332.56174782685525,314.36313846700006,18.198609359855197,3.3400052346219917
132.0,1681.5263288690755,60.684014398362706,331.1299832513285,314.3659780881142,16.76400516321428,3.6198995292320313
133.0,1679.2890594745552,60.62393095663266,330.968822858269,314.5166082137703,16.452214644498667,3.6848492599082547
134.0,1679.0354266421664,60.59820297679279,331.59315603528876,314.43826078692103,17.154895248367723,3.5324146314771974
135.0,1682.567496758355,60.580604489609044,329.644225833796,314.4019478072089,15.242278026587087,3.974511184216583
136.0,1682.4183294026723,60.76474175178194,330.77332122137534,314.2725222939196,16.50079892745572,3.6825333136249143
137.0,1679.8497904567153,60.69870378790712,330.9604277194465,314.4425524310911,16.517875288355413,3.6747283006003695
138.0,1683.7630739445467,60.684014398362706,329.75545710219683,314.40130839389843,15.354148708298396,3.9522877856175156
139.0,1677.3462701953613,60.76584456611526,331.2921911078395,314.37398379735214,16.91820731048739,3.5917425204056497
140.0,1683.2087898961831,60.69870378790712,331.81897812080535,314.2548602595722,17.56411786123317,3.4558356000262846
141.0,1677.5404783420813,60.5716945377753,331.5841666296351,314.474830190656,17.109336438979085,3.540271404084308
142.0,1682.6526968113933,60.54003661371492,329.51262116481024,314.40023281549827,15.11238834931197,4.005987353843455
143.0,1682.0817394671826,60.783450524757136,331.5644122454802,314.4283486487158,17.13606359676436,3.5471069642992163
144.0,1680.0024384674161,60.554220736510096,330.8966992268792,314.4523144488266,16.44438477805261,3.6823646219546258
145.0,1683.1991680979897,60.72256677809946,330.2974816343986,314.54227970586345,15.755201928535143,3.8541281193052415
146.0,1678.1705139115325,60.73935722726036,330.318620017805,314.5364494630618,15.782170554743232,3.8486060593867766
147.0,1683.1991680979897,60.66433842502213,331.59557795408796,314.3744737072109,17.221104246877076,3.5226741302621853
148.0,1676.1495718364115,60.59820297679279,330.9012856448352,314.254166978115,16.64711866672019,3.640161651393564
149.0,1679.8496172583045,60.54003661371492,331.3934570383275,314.4047893203441,16.98866771798339,3.563554106696085
150.0,1681.4618579262747,60.578075332144465,331.6735692372979,314.4554650868467,17.21810415045121,3.51827790114494
151.0,1679.5986978137355,60.70473339233153,330.8488318509407,314.3488811704523,16.49995068048844,3.6790857480632497
