I_target_uA,C_pF,C_th_mW_ns_per_K,S_e_mW_per_K,T_init_K,R_init_ohm,R_fast_ohm,tau_init_ns,tau_fast_ns,recommended_dt_ns,dt_ns,dt_over_tau_fast,dt_over_tau_init,dT_step_over_reversal,estimated_steps,feasible,turn_count,n_cycles,V_pp_mV,V_std_mV,dominant_freq_MHz,spectral_purity,period_cv,amplitude_cv,late_to_early_vpp,unstable,zigzag,oscillatory,trace_score
650.0,75.12883754865025,3.375779220024404,0.12119546704811496,317.6361269396118,2298.722766529228,18.197838136784316,172.70036929595827,1.367182425115101,0.041015472753453026,0.041015472753453026,0.029999999999999995,0.00023749499158953402,0.0029855717370841023,7314.312864399289,1.0,0.0,0.0,1403.1157915319432,405.9031785114918,3.5712674500261157,0.7476952004624933,inf,inf,0.575277525991413,0.0,0.0,0.0,0.1963312330044204
850.0,75.12883754865025,3.375779220024404,0.12119546704811496,317.6361269396118,2298.722766529228,18.197838136784316,172.70036929595827,1.367182425115101,0.041015472753453026,0.041015472753453026,0.029999999999999995,0.00023749499158953402,0.0029855717370841023,7314.312864399289,1.0,0.0,0.0,1766.514551679112,514.5372589059768,3.5712674500261157,0.7462075855532908,inf,inf,0.526193743565555,0.0,0.0,0.0,0.19301807769067497
1050.0,75.12883754865025,3.375779220024404,0.12119546704811496,317.6361269396118,2298.722766529228,18.197838136784316,172.70036929595827,1.367182425115101,0.041015472753453026,0.041015472753453026,0.029999999999999995,0.00023749499158953402,0.0029855717370841023,7314.312864399289,1.0,0.0,0.0,2060.706097444958,607.5367157840933,3.5712674500261157,0.7436930288914749,inf,inf,0.45354067236416284,1.0,0.0,0.0,0.0
1250.0,75.12883754865025,3.375779220024404,0.12119546704811496,317.6361269396118,2298.722766529228,18.197838136784316,172.70036929595827,1.367182425115101,0.041015472753453026,0.041015472753453026,0.029999999999999995,0.00023749499158953402,0.0029855717370841023,7314.312864399289,1.0,0.0,0.0,2247.871355017225,677.8153856000191,3.5712674500261157,0.739416797088279,inf,inf,0.34680980677862117,1.0,0.0,0.0,0.0
1450.0,75.12883754865025,3.375779220024404,0.12119546704811496,317.6361269396118,2298.722766529228,18.197838136784316,172.70036929595827,1.367182425115101,0.041015472753453026,0.041015472753453026,0.029999999999999995,0.00023749499158953402,0.0029855717370841023,7314.312864399289,1.0,1.0,0.0,2340.2565093444186,707.2813142247485,3.5712674500261157,0.7313396316669765,inf,inf,0.2264298259571537,1.0,0.0,0.0,0.0
1650.0,75.12883754865025,3.375779220024404,0.12119546704811496,317.6361269396118,2298.722766529228,18.197838136784316,172.70036929595827,1.367182425115101,0.041015472753453026,0.041015472753453026,0.029999999999999995,0.00023749499158953402,0.0029855717370841023,7314.312864399289,1.0,2.0,1.0,2819.928860781664,1010.2473118801275,3.5712674500261157,0.32005048286014914,0.0,0.7247325645991769,1.323711745786597,1.0,0.0,0.0,0.0
1850.0,75.12883754865025,3.375779220024404,0.12119546704811496,317.6361269396118,2298.722766529228,18.197838136784316,172.70036929595827,1.367182425115101,0.041015472753453026,0.041015472753453026,0.029999999999999995,0.00023749499158953402,0.0029855717370841023,7314.312864399289,1.0,2.0,1.0,2935.999384912916,1018.0388781112503,3.5712674500261157,0.20080048227845398,0.0,0.4118042174805075,1.2603680947083862,1.0,0.0,0.0,0.0
50.0,24.482847475069857,29.828206328319126,0.5980060396730094,334.33815568377173,131.57854523097717,18.197838136784316,3.2214174538815943,0.44553489547889985,0.013366046864366996,0.013366046864366996,0.030000000000000002,0.004149119775911625,0.0009729326294656966,22444.93102891778,1.0,0.0,0.0,154.05842380895933,43.17567514305905,3.571531256590795,0.7463465163901017,inf,inf,0.3355338823146148,0.0,0.0,0.0,0.13840956962746187
250.0,24.482847475069857,29.828206328319126,0.5980060396730094,334.33815568377173,131.57854523097717,18.197838136784316,3.2214174538815943,0.44553489547889985,0.013366046864366996,0.013366046864366996,0.030000000000000002,0.004149119775911625,0.0009729326294656966,22444.93102891778,1.0,0.0,0.0,764.8163615080151,214.39201132171377,3.571531256590795,0.7460921142205724,inf,inf,0.3291277780466094,0.0,0.0,0.0,0.17971612501814613
450.0,24.482847475069857,29.828206328319126,0.5980060396730094,334.33815568377173,131.57854523097717,18.197838136784316,3.2214174538815943,0.44553489547889985,0.013366046864366996,0.013366046864366996,0.030000000000000002,0.004149119775911625,0.0009729326294656966,22444.93102891778,1.0,0.0,0.0,1353.7975718797165,379.6950678200338,3.571531256590795,0.7454742690081737,inf,inf,0.3142109879785101,0.0,0.0,0.0,0.17870924168854943
650.0,24.482847475069857,29.828206328319126,0.5980060396730094,334.33815568377173,131.57854523097717,18.197838136784316,3.2214174538815943,0.44553489547889985,0.013366046864366996,0.013366046864366996,0.030000000000000002,0.004149119775911625,0.0009729326294656966,22444.93102891778,1.0,0.0,0.0,1904.138120063626,534.49426033901,3.571531256590795,0.7444325959520205,inf,inf,0.29089123431601743,1.0,0.0,0.0,0.0
850.0,24.482847475069857,29.828206328319126,0.5980060396730094,334.33815568377173,131.57854523097717,18.197838136784316,3.2214174538815943,0.44553489547889985,0.013366046864366996,0.013366046864366996,0.030000000000000002,0.004149119775911625,0.0009729326294656966,22444.93102891778,1.0,0.0,0.0,2400.1332261601447,674.4831617689131,3.571531256590795,0.7428659793533718,inf,inf,0.2594346969572214,1.0,0.0,0.0,0.0
