I_uA,C_pF,C_th_pJ_per_K,tau_el_metal_ns,tau_th_ns,tau_el_over_tau_th,T_min_K,T_max_K,outside_resistance_temperature_range,max_temperature_step_K,frequency_MHz,raw_frequency_MHz,oscillatory,cycles,period_cv,persistence_ratio,V_pp_V,V_min_V,V_max_V
400.0,145.34619140625,49.62776565551758,186.96120743679177,241.39514739589467,0.774502758044967,325.89300537109375,377.763427734375,1.0,0.36712646484375,0.218412149892308,0.218412149892308,1.0,4.0,7.722035395725101e-05,0.999654888313893,6.5842045545578,0.758027970790863,7.371484279632568
400.0,290.6923828125,49.62776565551758,373.92241487358353,241.39514739589467,1.549005516089934,325.57049560546875,401.07330322265625,1.0,0.363739013671875,0.0,0.12525050454433018,0.0,2.0,0.0,0.9982963452448577,6.116295099258423,1.0155402421951294,7.195176601409912
400.0,581.384765625,49.62776565551758,747.8448297471671,241.39514739589467,3.098011032179868,325.476318359375,426.16845703125,1.0,0.358612060546875,0.0,0.0,0.0,0.0,inf,0.7972308843360154,5.922358393669128,1.360052466392517,7.445559501647949
400.0,0.0,70.18425750732422,0.0,341.3842902362685,0.0,336.63922119140625,336.63922119140625,0.0,0.059051513671875,0.0,0.0,0.0,0.0,inf,0.0,0.0,5.987486362457275,5.987486362457275
400.0,18.16827392578125,70.18425750732422,23.37015092959897,341.3842902362685,0.06845701925365322,334.0061950683594,334.0061950683594,0.0,0.1905517578125,0.0,0.0,0.0,0.0,inf,0.0,0.0,4.6307172775268555,4.6307172775268555
400.0,36.3365478515625,70.18425750732422,46.74030185919794,341.3842902362685,0.13691403850730643,333.9182434082031,334.2450256347656,0.0,0.2371826171875,0.0,0.0,0.0,0.0,inf,0.0,0.02533721923828125,4.571451663970947,4.604605674743652
400.0,72.673095703125,70.18425750732422,93.48060371839588,341.3842902362685,0.27382807701461287,327.20513916015625,356.01043701171875,0.0,0.2552490234375,0.3358240377069708,0.3358240377069708,1.0,6.0,0.00012824491912114404,1.0000355290204435,6.867842435836792,0.5942227244377136,7.474438667297363
400.0,145.34619140625,70.18425750732422,186.96120743679177,341.3842902362685,0.5476561540292257,326.19537353515625,369.77703857421875,0.0,0.25970458984375,0.20212228969821772,0.20212228969821772,1.0,3.0,0.0,0.9996177772242089,6.759853422641754,0.6741958260536194,7.45331335067749
400.0,290.6923828125,70.18425750732422,373.92241487358353,341.3842902362685,1.0953123080584515,325.6888122558594,393.9942321777344,1.0,0.258697509765625,0.0,0.11726079130885697,0.0,2.0,5.8630393996247655e-05,0.9971956420491515,6.370002210140228,0.8609191179275513,7.281607151031494
400.0,581.384765625,70.18425750732422,747.8448297471671,341.3842902362685,2.190624616116903,325.507080078125,414.9163513183594,1.0,0.255523681640625,0.0,0.0,0.0,0.0,inf,0.7438924171219401,6.20973527431488,1.1891411542892456,7.530125617980957
400.0,0.0,99.25553131103516,0.0,482.79029479178934,0.0,336.6382141113281,336.6382141113281,0.0,0.041778564453125,0.0,0.0,0.0,0.0,inf,0.0,0.0,5.9892191886901855,5.9892191886901855
400.0,18.16827392578125,99.25553131103516,23.37015092959897,482.79029479178934,0.04840642237781044,333.2481689453125,333.2481689453125,0.0,0.10870361328125,0.0,0.0,0.0,0.0,inf,0.0,0.0,4.236928462982178,4.236928462982178
400.0,36.3365478515625,99.25553131103516,46.74030185919794,482.79029479178934,0.09681284475562088,334.2666015625,334.2666015625,0.0,0.15411376953125,0.0,0.0,0.0,0.0,inf,0.0,0.0,4.7549614906311035,4.7549614906311035
400.0,72.673095703125,99.25553131103516,93.48060371839588,482.79029479178934,0.19362568951124176,327.9371337890625,349.6740417480469,0.0,0.17578125,0.29955367351104817,0.29955367351104817,1.0,5.0,7.337536299263631e-05,1.000119118940638,6.654248535633087,0.6015939712524414,7.265437602996826
400.0,145.34619140625,99.25553131103516,186.96120743679177,482.79029479178934,0.3872513790224835,326.62677001953125,362.5875549316406,0.0,0.1827392578125,0.18532246632356045,0.18532246632356045,1.0,3.0,0.0,0.9995761237201086,6.867431104183197,0.6215293407440186,7.507172107696533
400.0,290.6923828125,99.25553131103516,373.92241487358353,482.79029479178934,0.774502758044967,325.8858337402344,384.8212890625,1.0,0.18359375,0.0,0.10922396682670878,0.0,1.0,0.0,0.9190623394865649,6.600082635879517,0.7384234666824341,7.9282121658325195
400.0,581.384765625,99.25553131103516,747.8448297471671,482.79029479178934,1.549005516089934,325.57110595703125,404.0727844238281,1.0,0.18194580078125,0.0,0.0,0.0,0.0,inf,0.7780956181723525,6.519142150878906,1.0159324407577515,7.635036945343018
400.0,0.0,140.36851501464844,0.0,682.768580472537,0.0,336.6368103027344,336.6368103027344,0.0,0.029541015625,0.0,0.0,0.0,0.0,inf,0.0,0.0,5.99163293838501,5.99163293838501
400.0,18.16827392578125,140.36851501464844,23.37015092959897,682.768580472537,0.03422850962682661,332.5776672363281,332.5776672363281,0.0,0.056915283203125,0.0,0.0,0.0,0.0,inf,0.0,0.0,3.8980026245117188,3.8980026245117188
