time_us,source_voltage_V,voltage_V,current_mA,load_current_mA,temperature_K,resistance_ohm,semiconducting_fraction
27.785000000003155,14.5,1.626369595527649,1.268291613087058,1.0722405277192593,347.7055358886719,1287.6485595703125,7.584691047668457e-05
27.790000000003154,14.5,1.619831919670105,1.2628476833924651,1.0728025808930397,347.4421691894531,1287.85888671875,8.681416511535645e-05
27.795000000003157,14.5,1.6134957075119019,1.257537049241364,1.073347288183868,347.18255615234375,1288.0987548828125,9.918212890625e-05
27.800000000003156,14.5,1.6073559522628784,1.2523524928838015,1.073875348083675,346.9266662597656,1288.371826171875,0.00011309981346130371
27.805000000003158,14.5,1.6014081239700317,1.247286912985146,1.0743869934231043,346.67449951171875,1288.6817626953125,0.00012871623039245605
27.810000000003157,14.5,1.5956476926803589,1.2423332082107663,1.0748826898634434,346.4259948730469,1289.03271484375,0.0001462101936340332
27.81500000000316,14.5,1.5900706052780151,1.2374835787340999,1.0753626702353358,346.18115234375,1289.429443359375,0.00016576051712036133
27.82000000000316,14.5,1.5846730470657349,1.2327299918979406,1.075827400200069,345.9399108886719,1289.87744140625,0.000187605619430542
27.82500000000316,14.5,1.5794514417648315,1.2280649971216917,1.0762772290036082,345.7022399902344,1290.382080078125,0.00021195411682128906
27.83000000000316,14.5,1.5744024515151978,1.2234814930707216,1.0767123894765973,345.4681396484375,1290.9483642578125,0.0002389848232269287
27.835000000003163,14.5,1.5695232152938843,1.2189700501039624,1.0771331144496799,345.237548828125,1291.584228515625,0.0002690255641937256
27.84000000000316,14.5,1.564810872077942,1.2145234504714608,1.0775397531688213,345.01043701171875,1292.2955322265625,0.00030228495597839355
27.845000000003164,14.5,1.5602630376815796,1.210133545100689,1.0779324220493436,344.7867431640625,1293.08935546875,0.0003390312194824219
27.850000000003163,14.5,1.555877685546875,1.2057906715199351,1.078311470337212,344.5664367675781,1293.97509765625,0.0003796219825744629
27.855000000003166,14.5,1.5516529083251953,1.2014869134873152,1.0786768980324268,344.3494873046875,1294.960205078125,0.00042432546615600586
27.860000000003165,14.5,1.547587275505066,1.1972127249464393,1.0790289379656315,344.1358642578125,1296.054443359375,0.0004734992980957031
27.865000000003167,14.5,1.5436795949935913,1.1929597239941359,1.0793677065521479,343.9255065917969,1297.2669677734375,0.0005274713039398193
27.870000000003166,14.5,1.5399290323257446,1.1887181317433715,1.0796934366226196,343.7183837890625,1298.608642578125,0.0005866289138793945
27.87500000000317,14.5,1.5363351106643677,1.1844785185530782,1.0800058953464031,343.5144348144531,1300.09033203125,0.0006513595581054688
27.880000000003168,14.5,1.5328975915908813,1.1802315711975098,1.0803054319694638,343.3136291503906,1301.7235107421875,0.000722050666809082
27.88500000000317,14.5,1.5296165943145752,1.1759670451283455,1.080591813661158,343.11590576171875,1303.5208740234375,0.0007991492748260498
27.89000000000317,14.5,1.526492714881897,1.17167504504323,1.0808652732521296,342.9212341308594,1305.49560546875,0.0008831024169921875
