I_target_uA,time_ns,I_in_uA,V_vo2_mV,T_K,R_ohm,P_uW
0.0,1764.0,0.0,0.0,326.30872,48173.9,0.0
0.0,1776.0,0.0,0.0,327.28607,45975.11,0.0
0.0,1788.0,0.0,0.0,328.14108,44063.383,0.0
0.0,1800.0,0.0,0.0,328.6262,43037.37,0.0
0.0,1812.0,0.0,0.0,326.57126,47506.047,0.0
0.0,1824.0,0.0,0.0,325.15353,50965.344,0.0
0.0,1836.0,0.0,0.0,320.6766,63618.367,0.0
0.0,1848.0,0.0,0.0,321.18204,62047.35,0.0
0.0,1860.0,0.0,0.0,324.0183,53950.965,0.0
0.0,1872.0,0.0,0.0,322.39456,58487.96,0.0
0.0,1884.0,0.0,0.0,319.9926,65917.34,0.0
0.0,1896.0,0.0,0.0,319.32455,68070.41,0.0
0.0,1908.0,0.0,0.0,319.56998,67137.79,0.0
0.0,1919.9999,0.0,0.0,319.52777,67482.09,0.0
0.0,1932.0,0.0,0.0,320.6105,63890.625,0.0
0.0,1943.9999,0.0,0.0,322.4015,57820.945,0.0
0.0,1956.0,0.0,0.0,322.00027,59220.65,0.0
0.0,1968.0001,0.0,0.0,324.44098,52403.543,0.0
0.0,1980.0,0.0,0.0,324.4858,52287.71,0.0
0.0,1992.0001,0.0,0.0,324.42004,52458.22,0.0
0.0,2004.0,0.0,0.0,328.0014,44120.254,0.0
0.0,2016.0,0.0,0.0,326.02353,48515.617,0.0
0.0,2027.9999,0.0,0.0,328.16675,43656.47,0.0
0.0,2040.0,0.0,0.0,327.67273,44670.75,0.0
0.0,2052.0,0.0,0.0,329.25967,40945.24,0.0
0.0,2064.0,0.0,0.0,328.80493,42030.797,0.0
0.0,2076.0,0.0,0.0,333.19888,33620.785,0.0
0.0,2088.0,0.0,0.0,334.33575,31882.26,0.0
0.0,2100.0,0.0,0.0,337.92282,27037.678,0.0
0.0,2112.0,0.0,0.0,336.47058,28875.508,0.0
0.0,2124.0,0.0,0.0,334.38007,31768.615,0.0
0.0,2136.0,0.0,0.0,333.92712,32438.193,0.0
0.0,2148.0,0.0,0.0,331.20132,36857.414,0.0
0.0,2160.0,0.0,0.0,331.63028,36125.21,0.0
0.0,2172.0,0.0,0.0,333.56598,32822.777,0.0
0.0,2184.0,0.0,0.0,332.95328,33769.72,0.0
0.0,2196.0,0.0,0.0,332.4686,34538.5,0.0
0.0,2208.0,0.0,0.0,332.1085,35128.047,0.0
0.0,2220.0,0.0,0.0,331.26837,36065.023,0.0
0.0,2232.0,0.0,0.0,328.0363,42502.445,0.0
0.0,2244.0,0.0,0.0,327.5025,43594.89,0.0
0.0,2256.0,0.0,0.0,328.7118,41084.176,0.0
0.0,2268.0,0.0,0.0,326.5888,45550.56,0.0
0.0,2280.0,0.0,0.0,330.08966,38352.598,0.0
0.0,2292.0,0.0,0.0,331.47803,36017.41,0.0
0.0,2304.0,0.0,0.0,333.7381,27673.822,0.0
0.0,2316.0,0.0,0.0,336.8721,22410.9,0.0
0.0,2328.0,0.0,0.0,335.6848,23827.598,0.0
0.0,2340.0,0.0,0.0,330.77863,31321.578,0.0
0.0,2352.0,0.0,0.0,330.79614,31130.531,0.0
0.0,2364.0,0.0,0.0,331.7564,29646.787,0.0
0.0,2376.0,0.0,0.0,333.6431,27818.89,0.0
0.0,2388.0,0.0,0.0,333.15976,30016.348,0.0
0.0,2400.0,0.0,0.0,334.82755,26448.781,0.0
0.0,2412.0,0.0,0.0,333.21353,28145.629,0.0
0.0,2424.0,0.0,0.0,331.60178,30630.94,0.0
0.0,2436.0,0.0,0.0,330.51492,32665.162,0.0
0.0,2448.0,0.0,0.0,330.98996,31898.922,0.0
0.0,2460.0,0.0,0.0,329.7893,33920.08,0.0
0.0,2472.0,0.0,0.0,331.84732,30493.912,0.0
0.0,2484.0,0.0,0.0,330.96115,31888.076,0.0
0.0,2496.0,0.0,0.0,329.95404,33574.766,0.0
0.0,2509.0,0.0,0.0,327.8386,37388.82,0.0
0.0,2521.0,0.0,0.0,329.47736,34104.004,0.0
0.0,2533.0,0.0,0.0,330.60867,32239.842,0.0
0.0,2545.0,0.0,0.0,331.61453,30649.672,0.0
0.0,2557.0,0.0,0.0,333.17715,27828.182,0.0
0.0,2569.0,0.0,0.0,335.11063,27690.09,0.0
0.0,2581.0,0.0,0.0,336.26785,24478.62,0.0
0.0,2593.0,0.0,0.0,334.27145,25113.303,0.0
0.0,2605.0,0.0,0.0,333.1653,27577.336,0.0
0.0,2617.0,0.0,0.0,333.22034,25278.887,0.0
0.0,2629.0,0.0,0.0,332.74966,23842.785,0.0
0.0,2641.0,0.0,0.0,331.4955,25478.605,0.0
0.0,2653.0,0.0,0.0,330.32596,27078.25,0.0
0.0,2665.0,0.0,0.0,329.7542,27912.719,0.0
0.0,2677.0,0.0,0.0,325.3831,41953.664,0.0
0.0,2689.0,0.0,0.0,323.91663,50524.348,0.0
0.0,2701.0,0.0,0.0,322.18436,55123.332,0.0
0.0,2713.0,0.0,0.0,320.67734,59658.793,0.0
0.0,2725.0,0.0,0.0,324.2179,50156.297,0.0
0.0,2737.0,0.0,0.0,326.65237,43826.03,0.0
0.0,2749.0,0.0,0.0,325.42514,46519.09,0.0
0.0,2761.0,0.0,0.0,328.90063,39005.973,0.0
0.0,2773.0,0.0,0.0,328.13583,40531.06,0.0
0.0,2785.0,0.0,0.0,325.1409,47124.996,0.0
0.0,2797.0,0.0,0.0,323.47208,52013.418,0.0
0.0,2809.0,0.0,0.0,322.867,53621.805,0.0
0.0,2821.0,0.0,0.0,325.22632,45473.945,0.0
0.0,2833.0,0.0,0.0,328.2562,38219.945,0.0
0.0,2845.0,0.0,0.0,327.03592,40827.734,0.0
0.0,2857.0,0.0,0.0,325.27548,44036.875,0.0
0.0,2869.0,0.0,0.0,324.00183,52264.977,0.0
0.0,2881.0,0.0,0.0,317.91025,73401.91,0.0
0.0,2893.0,0.0,0.0,317.0491,76712.37,0.0
0.0,2905.0,0.0,0.0,318.77536,70285.19,0.0
0.0,2917.0,0.0,0.0,319.54877,67539.2,0.0
0.0,2929.0,0.0,0.0,324.36063,52970.527,0.0
0.0,2941.0,0.0,0.0,321.25104,61721.89,0.0
0.0,2953.0,0.0,0.0,323.2758,55530.516,0.0
0.0,2965.0,0.0,0.0,321.54526,60732.727,0.0
0.0,2977.0,0.0,0.0,320.32565,64559.11,0.0
0.0,2989.0,0.0,0.0,317.56653,74851.01,0.0
0.0,3001.0,0.0,0.0,321.17484,62384.254,0.0
0.0,3013.0,0.0,0.0,325.52145,50440.24,0.0
0.0,3025.0,0.0,0.0,325.8796,49611.062,0.0
0.0,3037.0,0.0,0.0,320.78836,63698.125,0.0
0.0,3049.0,0.0,0.0,322.67722,58020.023,0.0
0.0,3061.0,0.0,0.0,323.358,56120.688,0.0
0.0,3073.0,0.0,0.0,323.47632,55797.63,0.0
0.0,3085.0,0.0,0.0,321.02527,62953.348,0.0
0.0,3097.0,0.0,0.0,317.5288,75071.03,0.0
0.0,3109.0,0.0,0.0,312.98367,95059.63,0.0
0.0,3121.0,0.0,0.0,311.51523,102711.07,0.0
0.0,3133.0,0.0,0.0,311.58344,102339.6,0.0
0.0,3145.0,0.0,0.0,312.24448,98816.164,0.0
0.0,3157.0,0.0,0.0,312.41708,97921.35,0.0
0.0,3169.0,0.0,0.0,311.27734,104020.44,0.0
0.0,3181.0,0.0,0.0,313.403,92969.7,0.0
0.0,3193.0,0.0,0.0,313.29358,93501.7,0.0
0.0,3205.0,0.0,0.0,314.76785,86607.984,0.0
0.0,3217.0,0.0,0.0,316.3592,79754.61,0.0
0.0,3229.0,0.0,0.0,316.76825,78083.766,0.0
0.0,3241.0,0.0,0.0,319.22043,68945.086,0.0
0.0,3253.0,0.0,0.0,321.54803,61380.754,0.0
0.0,3265.0,0.0,0.0,319.57944,67705.94,0.0
0.0,3277.0,0.0,0.0,317.81082,74029.61,0.0
