I_target_uA,I_avg_uA,V_avg_mV,V_pp_mV,dominant_freq_MHz,n_cycles,period_cv,persistence_ratio,T_mean_K,T_max_K,R_mean_ohm,R_min_ohm,R_max_ohm,oscillatory,regime
600.0,600.0,4192.100180943048,6708.926248550414,0.32310177591725625,5.0,1.4692967909013532e-07,1.0669270850758963,337.4739074707031,384.8840026855469,22432.14453125,1286.00048828125,38116.6328125,1.0,oscillatory
625.0,624.9999389648438,4096.154465754028,6710.298545360565,0.3337115441806497,5.0,0.00016340852016583085,1.0004636864188146,337.7436218261719,385.5449523925781,21502.708984375,1286.00048828125,37537.484375,1.0,oscillatory
650.0,649.9998779296875,4113.196723276122,6704.997887611389,0.3439183831271265,6.0,0.0001620861585251987,1.0000003394845471,337.8968505859375,386.1194763183594,21187.708984375,1286.00048828125,36930.94921875,1.0,oscillatory
675.0,675.0001220703125,4208.704119496569,6702.665481567384,0.3571641233897229,6.0,0.021377595141530037,1.000001020919295,338.2555847167969,386.646728515625,20434.146484375,1286.00048828125,36293.4765625,1.0,oscillatory
700.0,699.9998779296875,4115.313879980405,6684.815835952761,0.3710575247910292,6.0,0.04712776839733124,1.0746297202342332,339.7840881347656,387.0494079589844,18853.12109375,1286.00048828125,35622.6484375,1.0,oscillatory
725.0,725.0001220703125,4001.405572727,6667.03146457672,0.3845907628627766,6.0,0.07226642966270447,0.9999989179870072,340.068115234375,387.4615478515625,17864.349609375,1286.00048828125,34914.60546875,1.0,oscillatory
750.0,750.0,3966.622767200219,6638.737173080445,0.3955696053127728,7.0,0.09043503552675247,0.9999909960617602,340.1797790527344,387.7386474609375,17535.509765625,1286.00048828125,34162.9921875,1.0,oscillatory
775.0,774.9999389648438,3997.714843036638,6601.22043132782,0.4082346794666718,7.0,0.11292490363121033,0.9999734941686783,340.3621826171875,387.8963317871094,17029.712890625,1286.00048828125,33363.05859375,1.0,oscillatory
800.0,799.9998168945312,3964.606138383221,6561.4845275878915,0.42072369556265554,7.0,0.13515040278434753,1.0338285295976062,341.5834045410156,387.9872741699219,15897.607421875,1286.00048828125,32508.8125,1.0,oscillatory
825.0,825.0000610351562,3839.9149892091896,6503.464250564576,0.43375883373404805,7.0,0.15998049080371857,1.0707632969197616,341.8857421875,387.92236328125,14836.58203125,1286.00048828125,31591.40625,1.0,oscillatory
850.0,850.0000610351562,3775.4130210620046,6438.389863967896,0.4154549212659849,6.0,2.885907974814472e-07,0.9999960793235928,341.57183837890625,387.6936950683594,14264.1083984375,1286.00048828125,30597.912109375,1.0,oscillatory
875.0,875.0,3781.8548607962653,6361.06557369232,0.4236774943897042,7.0,0.00019153550965711474,0.9575518427917346,341.31494140625,387.3255615234375,13953.49609375,1286.00048828125,29518.021484375,1.0,oscillatory
900.0,900.0000610351562,3840.4711874304435,6277.327871322632,0.4319653864732226,7.0,2.946526649338921e-07,0.9277962088390483,341.27056884765625,386.73895263671875,13363.37890625,1286.00048828125,28330.654296875,1.0,oscillatory
925.0,924.9999389648438,3795.576618496666,6165.241923332215,0.44047315722111446,7.0,0.00019874816644005477,0.9787605316259138,342.3272705078125,385.9180603027344,12254.9853515625,1286.00048828125,27012.470703125,1.0,oscillatory
950.0,950.0000610351562,3693.6288465427615,6025.334181785583,0.4494093835139212,7.0,0.0004449302505236119,0.9779372163796176,342.5347595214844,384.75177001953125,11145.4892578125,1286.00048828125,25530.78515625,1.0,oscillatory
975.0,974.9998168945312,3620.7369661988114,5850.898451805116,0.45921589048767,8.0,0.00022246978187467903,0.907198684115979,342.3730773925781,383.13189697265625,10366.8056640625,1286.00048828125,23837.185546875,1.0,oscillatory
1000.0,1000.0001831054688,3617.0094149568718,5624.534873962401,0.47036688026572987,8.0,1.852411770641993e-07,0.9302461051615382,342.1235046386719,380.9036560058594,9683.869140625,1286.00048828125,21865.150390625,1.0,oscillatory
