I_target_uA,I_avg_uA,V_avg_mV,V_std_mV,V_pp_mV,V_pp_active_mV,turn_count,input_power_dBm,dominant_freq_MHz,oscillatory,n_cycles,period_cv,spectral_purity,R_plateau_ohm,R_min_ohm,R_max_ohm,T_avg_K,T_max_K,P_avg_uW,P_peak_uW,cycle_energy_pJ,cycle_period_ns,cycle_frequency_MHz,regime
1000.0,1000.0000610351562,1773.8575439453125,0.0003662109375,0.0,0.0,0.0,-13.010298532911671,3.569382264196159,0.0,1.0,inf,0.6250030315850512,1774.089111328125,1774.0889892578125,1774.0889892578125,328.9135437011719,328.91351318359375,1773.627197265625,1773.626953125,,,0.0,insulating
1100.0,1100.0,1761.4122314453125,0.000244140625,0.0,0.0,0.0,-12.182446300540708,3.569382264196159,0.0,1.0,inf,0.5208409035280912,1601.181884765625,1601.181884765625,1601.181884765625,330.5127258300781,330.51275634765625,1937.6776123046875,1937.677490234375,,,0.0,insulating
1200.0,1200.0,1671.3822021484375,0.05051448941230774,0.51513671875,0.51513671875,0.0,-11.426674623129705,3.569382264196159,0.0,1.0,inf,0.14566769918857808,1392.9766845703125,1392.9766845703125,1392.9766845703125,331.23046875,331.23052978515625,2005.4306640625,2005.451171875,83.32860565185547,40.55461120605469,24.658108418770954,insulating
1300.0,1300.0,1602.4921875,3.994969606399536,25.3887939453125,25.3887939453125,0.0,-10.73143288685724,3.569382264196159,0.0,2.0,0.0,0.104006869036425,1233.3209228515625,1218.345947265625,1233.8599853515625,331.98785400390625,332.3707275390625,2082.17236328125,2084.429931640625,73.32923889160156,35.329986572265625,28.304567791288363,insulating
1400.0,1400.0,1381.98583984375,679.6766967773438,1925.30126953125,1925.30126953125,5.0,-10.087739552782178,35.69382264196159,1.0,10.0,0.004982206323185516,0.23151225968420738,1186.652099609375,123.21141052246094,1811.984375,331.146484375,341.19207763671875,1941.577392578125,6470.70751953125,53.90223821004232,27.146831936306423,36.836710904103356,oscillatory
1500.0,1500.0,1378.7259521484375,769.8041381835938,2113.947021484375,2113.947021484375,7.0,-9.488474700025446,42.832587170353904,1.0,12.0,0.00020211318387631784,0.1922482066960838,1174.4427490234375,47.352745056152344,1775.015869140625,331.1447448730469,343.4100036621094,2029.51513671875,13385.359375,48.18481233384874,23.921761406792534,41.80294180662015,oscillatory
1600.0,1600.0,1312.58349609375,809.5784912109375,2148.1904296875,2148.1904296875,8.0,-8.927900522945349,46.40196943455006,1.0,13.0,4.155892964989419e-05,0.19085058430687982,1060.998779296875,35.05262756347656,1702.701171875,331.8619689941406,344.335693359375,2106.56298828125,18663.69140625,45.116357283158735,21.878645463423297,45.70666870907522,oscillatory
1700.0,1700.0,1243.1746826171875,814.3406982421875,2149.25244140625,2149.25244140625,8.0,-8.401322008726114,49.971351698746226,1.0,14.0,2.3974002893690544e-05,0.18807543684990335,979.8623657226562,30.94152069091797,1619.609375,332.1714172363281,344.80645751953125,2064.2939453125,22027.18359375,42.79592355092367,20.302019755045574,49.256182984034105,oscillatory
1800.0,1800.0,1218.459228515625,803.2618408203125,2125.1826171875,2125.1826171875,6.0,-7.90485056553903,53.54073396294238,1.0,15.0,6.039301203568006e-05,0.18583152979162149,913.7883911132812,29.90133285522461,1527.11376953125,332.52032470703125,344.9497375488281,2149.205078125,23087.37109375,40.8432731628418,19.003331502278645,52.62235202706917,oscillatory
1900.0,1900.0,1154.370849609375,795.2791748046875,2079.39013671875,2079.39013671875,10.0,-7.43522832331823,57.11011622713854,1.0,16.0,8.221792288949756e-05,0.18310459452311578,811.3673095703125,30.688968658447266,1425.42578125,333.054931640625,344.8401184082031,2189.40087890625,22106.09375,39.11718251154973,17.896978525015022,55.875353406848916,oscillatory
