I_target_uA,time_ns,I_in_uA,V_vo2_mV,T_K,R_ohm,P_W
0.0,6.002399921417236,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,6.251279830932617,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,6.501989841461182,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,6.752700328826904,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,7.001580238342285,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,7.252289772033691,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,7.502999782562256,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,7.751880168914795,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,8.002589225769043,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,8.253300666809082,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,8.502180099487305,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,8.752889633178711,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,9.003599166870117,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,9.252479553222656,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,9.503190040588379,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,9.753899574279785,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,10.002779960632324,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,10.25348949432373,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,10.504199981689453,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,10.753080368041992,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,11.003789901733398,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,11.254500389099121,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,11.503379821777344,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,11.754090309143066,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,12.004799842834473,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,12.253680229187012,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,12.504390716552734,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,12.75510025024414,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,13.003979682922363,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,13.254690170288086,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,13.505400657653809,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,13.754280090332031,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,14.004989624023438,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,14.25570011138916,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,14.504579544067383,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,14.755290031433105,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,15.005999565124512,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,15.25487995147705,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,15.505589485168457,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,15.756299018859863,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,16.005178451538086,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,16.255891799926758,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,16.506601333618164,0.0,0.0,311.2193603515625,2817.621826171875,0.0
0.0,16.75547981262207,0.0,0.0,311.2193603515625,2817.621826171875,0.0
