evaluation,stage,C_pF,C_th_pJ_per_K,S_e_mW_per_K,T0_K,Tc_K,w_K,beta_per_K,gamma,objective_total,objective_waveform,objective_mean_voltage,objective_amplitude,objective_spectrum,objective_frequency,objective_classification,objective_false_positive,objective_sustain,objective_edge,objective_prior,best_total_so_far,global_evaluations,fit_mode
3,global,19.13000696922998,0.07402440803630352,0.007716803190661219,318.48838385089687,336.34804456699845,7.679018363383076,0.20957156885506406,1.6066769241269023,239.04242612743028,2.7776032885461617,3.318655769761881,71.08855606390405,0.6219195631457478,4.365163598778102,0.6470588235294118,0.29411764705882354,1.3697066506136608,1.6966635713062648,0.0,3.8453121965169816,416,relaxed
4,global,24.613778395606534,0.18017286976436767,0.005411310698990033,313.689578321292,341.0069043486337,18.785699326159353,0.4688595029812506,2.476513324295776,120.83439489635751,3.261418544166664,7.022230382025528,112.38918539887166,0.6434884472867016,1.8823529411764706,0.47058823529411764,0.0,1.7230158106248632,2.2912442050543964,0.0,3.8453121965169816,416,relaxed
5,global,14.239460860154166,0.19883252767976817,0.0043381029077977536,319.0356618970375,333.1452576372939,10.027528732753586,0.538397363972229,1.70768192441155,119.80929662662214,2.226883167044538,1.7821141946879964,58.632605184034915,0.6416835220434066,1.8823529411764706,0.47058823529411764,0.0,1.004031771906354,2.04552713741518,0.0,3.8453121965169816,416,relaxed
6,global,21.36268047444803,0.04588967548745275,0.010230001589863551,319.8403869194373,338.4156674473661,15.451140952652011,0.770024291856335,0.18686970348286502,268.10416959218026,2.6259644265126205,15.539788244577233,71.48230736186021,0.5826447990477979,3.0588235294117645,0.7647058823529411,0.29411764705882354,1.4878634448353396,1.767338512274585,0.0,3.8453121965169816,416,relaxed
7,global,10.20886299103164,0.015487837800257642,0.012716606514832094,314.5448773325468,331.8923058797409,6.700445339771205,0.4182736390735064,2.4477003704719635,195.63404778024196,3.083209997010841,14.885818592773076,91.00259332134999,0.5975143382273583,2.9906368204147196,0.47058823529411764,0.29411764705882354,3.288566416911923,1.8693351422799975,0.0,3.8453121965169816,416,relaxed
8,global,20.31439805797023,0.12416543522929205,0.011579802333557116,314.0616474936246,329.8593810781397,12.868925897335794,0.3504946366542367,2.5513113402774654,121.23207108400523,3.330903427543182,13.276239564489913,105.21819503741638,0.6173543868037017,1.8823529411764706,0.47058823529411764,0.0,2.415119653206818,2.108343372916271,0.0,3.8453121965169816,416,relaxed
9,global,27.872932699970576,0.051229778900187456,0.004036697534020329,315.1911210846478,341.7687106379447,19.928029991541063,0.14773676090819055,0.3577292956873517,238.35182123597943,1.6754302045468819,1.3166778485027484,33.588824025293206,0.5955423454426886,4.036986419127009,0.6470588235294118,0.29411764705882354,1.1938136010047287,1.6796060268672,0.0,3.8453121965169816,416,relaxed
10,global,15.176033231449523,0.11453880932739885,0.017599900237671436,310.9849822081273,339.2118300166361,3.455077391609807,0.9034422063039851,2.0083325868763224,210.30666314592534,3.57828490802938,57.84492480253448,123.97035488837325,0.5693286483373557,2.588235294117647,0.6470588235294118,0.17647058823529413,1.213410928590276,2.68529178830265,0.0,3.8453121965169816,416,relaxed
11,global,25.538423292777107,0.03719011849069573,0.018245508277708516,315.6417112674152,334.23904430670933,11.98003510039074,0.862772928984743,0.9229880175353561,180.37157593720005,3.4383250715629385,36.99819856118695,106.73849362808312,0.6118435986903451,2.3529411764705883,0.5882352941176471,0.11764705882352941,1.59257621819188,2.1521415704357536,0.0,3.8453121965169816,416,relaxed
12,global,2.3080309416580214,0.07851196332861629,0.003391839598117866,311.77154345137336,334.1188804649789,16.131011115352898,0.2761233354447872,2.9638919575364056,120.82283490143402,2.0024868367541484,1.8225580058908797,45.51752040278935,0.4639237606563047,1.8823529411764706,0.47058823529411764,0.0,3.3226452566020064,1.8404690101760572,0.0,3.8453121965169816,416,relaxed
13,global,24.325345657540073,0.15432625404989408,0.012309733757436818,317.54205892475164,330.2622622126795,19.16437444693233,0.9776163339542774,0.21642983441607644,121.2123555917372,3.3912462655744444,21.00325376326211,107.86695805053577,0.5987723531873476,1.8823529411764706,0.47058823529411764,0.0,2.0120538928600173,2.1595152448093717,0.0,3.8453121965169816,416,relaxed
14,global,5.80041397062495,0.08744496439064342,0.009495389325350911,312.69061913061023,330.7605760783844,5.090497582565236,0.06380759855254503,0.5548799500108472,119.12508126549093,1.0634139156907692,9.272579124979405,0.47180426912300744,0.4701837813392531,1.8823529411764706,0.47058823529411764,0.0,0.5693290047098853,1.7234376446759536,0.0,3.8453121965169816,416,relaxed
15,global,26.979589215095146,0.10285871854615987,0.019214865654974787,316.28878652094284,340.53832282562615,9.847034108223893,0.32142379242196284,0.8562799708472821,120.89252192071093,3.2996301275788777,49.81948204140622,96.39246694168199,0.6001008778519732,1.8823529411764706,0.47058823529411764,0.0,0.45077139697702984,2.2588971415659174,0.0,3.8453121965169816,416,relaxed
16,global,17.17332318994213,0.1367417949008166,0.016548989626916498,316.8726444392581,328.04901420513124,3.3346788943736403,0.4428783545715627,2.362842088549495,121.10400309743727,3.508852354709204,10.086591241712526,111.59237371888275,0.6447811489100265,1.8823529411764706,0.47058823529411764,0.0,2.1525611013998165,1.9415586056958796,0.0,3.8453121965169816,416,relaxed
17,global,4.255253720331362,0.1006690701807844,0.015512390705168968,314.999741017984,328.45617498634886,2.415936356541865,0.5689194913620872,1.5103307555437626,181.7356346207411,3.998342582704758,12.56945417727251,140.09169929706945,0.5679929263938621,2.112986925295631,0.4117647058823529,0.29411764705882354,4.849824039105926,2.2968328756275973,0.0,3.8453121965169816,416,relaxed
18,global,12.423712241551272,0.05761829970635964,0.0010690557951476849,318.09945393142,335.2560318280946,11.177672973650512,0.6405337160526694,1.4517676540168432,119.02357061658279,1.736375371687403,8.590242842425752,5.670288717314841,0.6099298548267431,1.8823529411764706,0.47058823529411764,0.0,0.2538290707671136,1.4689042884844552,0.0,3.8453121965169816,416,relaxed
19,global,6.992903381605343,0.09558231181012536,0.00852822511683988,310.16516194779337,336.2361927742529,7.001419952359079,0.31333730198850884,2.272487216537159,211.02361667003416,3.562715155679,14.32355289094861,124.33298009702305,0.6414408793522426,3.674097092648259,0.5294117647058824,0.29411764705882354,3.291938734968639,2.5118609178853624,0.0,3.8453121965169816,416,relaxed
20,global,3.561202144510405,0.17001269035836236,0.014339130767215252,318.2566332681329,338.523566172803,17.320546080340943,0.3977510070998823,1.3614635378420477,179.32620844241998,1.9079322518557358,34.48672003518354,60.011204621452244,0.5072871633699869,2.3529411764705883,0.5882352941176471,0.11764705882352941,0.5942396462580684,2.8660345637722506,0.0,3.8453121965169816,416,relaxed
21,global,29.377722805646208,0.06547716219975694,0.01080549773091663,319.6646710150865,336.999723085257,18.151584377062008,0.7268813016065443,0.5286972236402676,150.03201660265924,2.8528664638841845,15.458087889990088,78.77113352359345,0.6188063924616841,2.1176470588235294,0.5294117647058824,0.058823529411764705,1.4210997256518885,1.8948939073275701,0.0,3.8453121965169816,416,relaxed
22,global,1.6279661744132383,0.18198027032673864,0.013476502506319148,312.91173971377634,335.7131646561221,13.336137257290133,0.11234746273361307,1.0826133855193665,119.897297103363,2.418566885722932,45.04518303042867,0.6231297190152096,0.5086302059584613,1.8823529411764706,0.47058823529411764,0.0,0.5928497058598046,3.169915050434676,0.0,3.8453121965169816,416,relaxed
23,global,17.847178423563783,0.19314716314994163,0.005111303655093277,315.49801854264865,334.59945932216755,3.986547295423776,0.9564341262598889,1.963255651825454,120.74779364741548,3.2199592824016774,1.860357797089171,103.79087470377492,0.6621038326193275,1.8823529411764706,0.47058823529411764,0.0,1.9316082251686046,2.113396045499524,0.0,3.8453121965169816,416,relaxed
24,global,9.36108241194401,0.16482819305177765,0.002624581831269215,317.37254488928744,337.220429587267,5.579159098967514,0.1791004315127389,0.43848811406806876,119.18770582277911,1.2077058433964503,1.9596941648938615,17.80767106506051,0.5653599774106483,1.8823529411764706,0.47058823529411764,0.0,0.6182297786178518,2.0662929665597933,0.0,3.8453121965169816,416,relaxed
25,global,0.6706217602252522,0.13971480155825572,0.0012216625600442663,310.80697544983514,341.45120074574874,9.1680671161883,0.5163252667856595,1.7865596457742574,118.97349846037143,1.04769886992158,2.6916205652509295,1.234851184838414,0.5433255904233851,1.8823529411764706,0.47058823529411764,0.0,0.49874011902475646,2.159192666840484,0.0,3.8453121965169816,416,relaxed
26,global,16.2560007376242,0.025683868393088546,0.0017763903704679472,313.2217460751286,333.66042729077753,1.596853982873883,0.6735344572003524,2.177977666754259,61.89303320955914,2.4482366791592254,1.740799034326714,44.69681925336692,0.61006385929648,3.9678751881325125,0.17647058823529413,0.058823529411764705,1.0211338082798236,1.3747199820060185,0.0,3.8453121965169816,416,relaxed
27,global,13.460467187555892,0.1459554551693555,0.008117548331918741,319.3015304895015,337.63794655376813,16.99292425009954,0.8212810566062885,0.7239193244798062,77.35851701472315,2.3030460273482336,5.280334560438997,87.70973764308829,0.6103850379909385,3.3158580044120876,0.29411764705882354,0.0,2.1808974151939897,2.144330012804686,0.0,3.8453121965169816,416,relaxed
28,global,8.09556312660235,0.1606647269733694,0.006046804370159711,316.9575977617441,329.4828993634724,5.92650927217353,0.6061195683950389,1.1368137010224568,119.0289080047639,1.1800724529832978,0.8469498482236166,15.545110635030047,0.6400406713075215,1.8823529411764706,0.47058823529411764,0.0,0.38610659009932347,1.962582965679105,0.0,3.8453121965169816,416,relaxed
29,global,4.927490884890947,0.119448604343333,0.019766552545094955,311.4258879325764,331.2192069633141,14.111068550675984,0.23040368397689132,1.8740887100948693,241.04970495893065,4.134793988517481,50.44060756832535,159.3096817981259,0.5275857323165053,3.5974978515050773,0.6470588235294118,0.29411764705882354,2.425458577911516,3.312496142956036,0.0,3.8453121965169816,416,relaxed
30,global,22.81461831994934,0.12956127357363986,0.014559554113655497,316.0393747013076,332.1984625505823,13.911784849773296,0.7547628846449359,1.2599994620770714,121.44067255852984,3.4438512629900675,22.218495464272475,116.32987952565965,0.615554645468859,1.8823529411764706,0.47058823529411764,0.0,2.245696238390151,2.226568314182731,0.0,3.8453121965169816,416,relaxed
31,global,11.067654901647078,0.07017776100688627,0.017288394755057803,312.2330828000324,340.1385928554605,11.06234478399882,0.8232334509526243,2.7835774990542923,269.1227613566599,3.276651042792943,56.74035700599262,112.04276119403093,0.5226927131123267,3.0588235294117645,0.7647058823529411,0.29411764705882354,1.0261745476248085,2.7477556628806856,0.0,3.8453121965169816,416,relaxed
32,global,12.0393137165508,0.03486338154078161,0.016209643713807478,314.1266239663558,329.09361704078646,15.001303412963619,0.9401150391560169,2.641010388079552,225.14249319578337,2.9359397297445544,26.570022084962886,95.7233143551055,0.5735050856083818,3.422122766192246,0.5882352941176471,0.29411764705882354,2.490798907468766,2.1769430709587505,0.0,3.8453121965169816,416,relaxed
33,global,4.594571531265753,0.09385151775891146,0.00748141138868622,310.58464178796316,341.4347732244176,8.074174546,0.7712471233979353,2.15342189710148,210.15926852968624,3.54736114261264,16.660869189176005,113.3358206662082,0.5642245723327747,2.9198611521913724,0.5294117647058824,0.29411764705882354,2.449693091702155,2.6404424648518035,0.0,3.8453121965169816,416,relaxed
34,global,27.522697234398876,0.008450179045424625,0.013025837253289877,310.29858577672036,332.699614773506,3.3324760942205467,0.7540791711520651,2.3364675121889533,268.4397706655676,2.9319630654841733,19.01151547387809,88.78264773886018,0.6170004249398422,3.0588235294117645,0.7647058823529411,0.29411764705882354,1.6563522728990723,1.8754342048171186,0.0,3.8453121965169816,416,relaxed
35,global,4.505136419409082,0.07402440803630352,0.007359076457893157,318.48838385089687,339.6237794390717,3.264570754963467,0.20957156885506406,0.4454274415508843,119.17104098856912,0.6565869727425916,5.8230669309785945,5.638982990384375,0.3776507934553235,1.8823529411764706,0.47058823529411764,0.0,0.7238977954403246,1.5991349080282187,0.0,3.8453121965169816,416,relaxed
36,global,12.626865687994995,0.0378963381559366,0.00149378976378557,313.689578321292,337.6299998260827,18.785699326159353,0.23081563749075817,2.936405273838856,120.53239074617156,2.351655831767862,2.0049381578860648,41.041187862637855,0.6076178032452402,3.555774117591945,0.35294117647058826,0.11764705882352941,1.1299864000862656,1.4527015221326103,0.0,3.8453121965169816,416,relaxed
37,global,11.761068599515777,0.03454750581138591,0.0043381029077977536,313.55998949884645,337.3354009692471,16.781317182130927,0.23461715907130476,2.4589064046018168,120.68940045729542,2.572204494722834,1.0163642485831152,66.10058288523226,0.6033453047677838,1.8823529411764706,0.47058823529411764,0.0,2.6439505596791077,1.6245414381391972,0.0,3.8453121965169816,416,relaxed
38,global,8.45975912556943,0.11697340568737,0.004606613956525423,310.474451807279,338.4156674473661,4.935906576422194,0.1965779745647493,0.7421640432995196,119.38936340164403,0.9518768822118802,3.5213540903321565,28.368113154519442,0.6053333104398034,1.8823529411764706,0.47058823529411764,0.0,0.7504856194387091,2.247288128896586,0.0,3.8453121965169816,416,relaxed
39,global,29.24085711645605,0.16282227792662057,0.005130803569412655,313.2541447846406,331.8923058797409,6.700445339771205,0.09221559479179497,0.7113444457329111,119.54213964076487,1.5249466373844303,1.509131351461581,39.92440752976083,0.6780426328523788,1.8823529411764706,0.47058823529411764,0.0,0.8812406388459612,1.945626050710106,0.0,3.8453121965169816,416,relaxed
40,global,14.218940041397273,0.09711494229104992,0.001246495206446218,310.88421450171984,333.69154156946615,15.34020199088339,0.1774779661412505,2.0755100935055735,119.3205979247249,1.8519652261551454,5.7793417071166076,23.915275221851743,0.6019936157996836,1.8823529411764706,0.47058823529411764,0.0,0.5825764932031301,1.919581233175606,0.0,3.8453121965169816,416,relaxed
41,global,27.872932699970576,0.03127437965687124,0.004036697534020329,317.33498098081367,329.6338182880803,19.928029991541063,0.5230566954986269,0.7894397143171552,61.32319028033124,1.9329269630596737,1.8130876818986315,26.2766093680781,0.625914066961528,3.2998180563442485,0.23529411764705882,0.0,0.9319012465118538,1.4819127210463043,0.0,3.8453121965169816,416,relaxed
42,global,1.8559711544353092,0.10076007986066757,0.00683316407251779,311.133834184529,336.2350549106435,18.448715329350282,0.5556912364379019,2.0083325868763224,166.50264372959796,3.596206683808044,11.181809919974953,141.56347055641913,0.5563247524682651,2.1634439242825154,0.5294117647058824,0.11764705882352941,3.7815095283362656,2.6449845672368677,0.0,3.8453121965169816,416,relaxed
43,global,25.575719079293506,0.034008854423305326,0.0030309836506473,313.91878781237506,336.8366694121267,2.6979261950617337,0.7330927554403797,0.9229880175353561,252.9582604069408,2.3852067775659807,0.1778983531510225,46.33907537299085,0.625830146599782,3.754041079241614,0.7058823529411765,0.29411764705882354,1.0408200439676647,1.4885481661933848,0.0,3.8453121965169816,416,relaxed
