source_file,nominal_drive_mV,time_ns,current_corrected_uA,voltage_corrected_mV,current_smoothed_uA,voltage_smoothed_mV,voltage_slew_mV_per_ns,capacitive_current_uA,resistive_current_uA,effective_resistance_ohm,power_mW,temperature_inferred_K,temperature_model_K,fit_window,included_in_primary_fit
100mv0_converted.csv,100.0,-39.0,0.5613257342573998,1.7199999999999998,-0.17284914025546122,2.0832325757575725,0.021962474025974066,0.008565364870129885,-0.1814145051255911,,-3.7792860679257044e-07,,314.3999926066724,False,True
100mv0_converted.csv,100.0,-38.0,1.1226514685147997,2.573334,-0.2484078054981818,2.0062916796536765,0.037258322510822506,0.014530745779220778,-0.26293855127740257,,-5.275314276880442e-07,,314.39998403079016,False,True
100mv0_converted.csv,100.0,-37.0,-0.7519637786206501,2.146667,0.24134789292761047,2.1577492207792175,0.13021649350649334,0.050784432467532406,0.19056346046007805,11322.995581470634,4.111881583167246e-07,,314.3999841619257,False,True
100mv0_converted.csv,100.0,-36.0,-0.9320118354945701,2.146667,0.3088372466476767,2.266724666666663,0.07711399350649328,0.030074457467532383,0.2787627891801443,8131.374611845495,6.318784903834318e-07,,314.3999958470574,False,True
100mv0_converted.csv,100.0,-35.0,0.9320126298230598,1.9333329999999993,-0.1400672617425026,2.311977207792204,-0.04109674891774895,-0.016027732077922092,-0.12403952966458053,,-2.8677656544977514e-07,,314.3999995052404,False,True
100mv0_converted.csv,100.0,-34.0,0.9320126298230598,2.573334,-0.21044503113570143,2.1845311688311653,-0.03509390259740264,-0.013686622012987029,-0.1967584091227144,,-4.298248774582038e-07,,314.3999923191053,False,True
100mv0_converted.csv,100.0,-33.0,-0.7519637786206501,2.3599999999999994,0.27573447661617795,2.241789402597399,0.02862910606060587,0.01116535136363629,0.26456912525254167,8473.359846722562,5.931082612456118e-07,,314.3999946598103,False,True
100mv0_converted.csv,100.0,-32.0,-0.9320118354945701,2.146667,0.2882053376983542,2.241789380952377,0.00046180519480532034,0.00018010402597407494,0.28802523367238014,7783.308956542133,6.456919102930688e-07,,314.4000075153691,False,True
100mv0_converted.csv,100.0,-31.0,0.9320126298230598,1.9333329999999993,-0.215717663329715,2.2427130129870094,-0.07434344805194781,-0.02899394474025965,-0.18672371858945536,,-4.1876771351389584e-07,,314.4000091044762,False,True
100mv0_converted.csv,100.0,-30.0,0.9320126298230598,2.3599999999999994,-0.2188353786002591,2.0931024848484814,-0.07203468181818184,-0.02809352590909092,-0.19074185269116817,,-3.9924224583248707e-07,,314.4000002104109,False,True
100mv0_converted.csv,100.0,-29.0,-0.9320118354945701,2.146667,0.21883617292874877,2.0986436493506457,0.037864344155844165,0.014767094220779224,0.20406907870796953,10283.986494366856,4.282682760593173e-07,,314.4000005931057,False,True
100mv0_converted.csv,100.0,-28.0,-0.9320118354945701,2.146667,0.19935045248784838,2.1688311731601697,0.04617606060606061,0.018008663636363637,0.18134178885148475,11959.908341570395,3.932997246577294e-07,,314.40000880435053,False,True
100mv0_converted.csv,100.0,-27.0,0.9320126298230598,1.9333329999999993,-0.26092453475260396,2.190995770562767,-0.02585856060606062,-0.010084838636363643,-0.2508396961162403,,-5.495887132799321e-07,,314.40000646124025,False,True
100mv0_converted.csv,100.0,-26.0,0.7519645729491398,2.3599999999999994,-0.2562479618467879,2.1171140519480485,-0.0023088614718616007,-0.0009004559740260243,-0.25534750587276184,,-5.405997928131108e-07,,314.39999502481635,False,True
100mv0_converted.csv,100.0,-25.0,-0.9320118354945701,2.3599999999999994,0.17110764552351326,2.1863780476190438,0.1288311536796536,0.0502441499350649,0.12086349558844836,18089.64763905115,2.6425329351308463e-07,,314.39999271774855,False,True
100mv0_converted.csv,100.0,-24.0,-0.7519637786206501,2.146667,0.16065413811188686,2.3747763593073556,0.20086593290043275,0.07833771383116878,0.08231642428071809,28849.36244568663,1.9548309836456331e-07,,314.399997868951,False,True
