source_file,nominal_drive_mV,time_ns,input_current_uA,output_voltage_mV,output_power_uW,current_corrected_uA,voltage_corrected_mV,effective_resistance_ohm,corrected_power_uW
250mv0_converted.csv,250.0,-277.0,5.16843100264114,-2.6,-0.013437920606866964,-0.5613249399289106,0.22666699999999995,,-0.00012723384015886637
250mv0_converted.csv,250.0,-276.0,6.29108167682745,-2.826667,-0.01778279297019282,0.5613257342573998,0.0,0.0,0.0
250mv0_converted.csv,250.0,-275.0,7.0430462497766,-2.386667,-0.01680940606381557,1.3132903072065494,0.43999999999999995,335.0363568401776,0.0005778477351708817
250mv0_converted.csv,250.0,-274.0,5.16843100264114,-2.826667,-0.014609433356942623,-0.5613249399289106,0.0,,-0.0
250mv0_converted.csv,250.0,-273.0,5.35906984133288,-3.04,-0.016291572317651954,-0.3706861012371707,-0.213333,,7.907957803522935e-05
250mv0_converted.csv,250.0,-272.0,6.11103361995353,-3.466667,-0.021184918586183446,0.38127767738347984,-0.6400000000000001,-1678.5666666666762,-0.00024401771352542716
250mv0_converted.csv,250.0,-271.0,6.85240741108485,-2.6,-0.017816259268820613,1.1226514685147997,0.22666699999999995,201.90326771661978,0.00025446804041384403
250mv0_converted.csv,250.0,-270.0,5.35906984133288,-3.04,-0.016291572317651954,-0.3706861012371707,-0.213333,,7.907957803522935e-05
250mv0_converted.csv,250.0,-269.0,5.54970788569613,-3.466667,-0.01923898918698255,-0.18004805687392,-0.6400000000000001,,0.00011523075639930882
250mv0_converted.csv,250.0,-268.0,5.92039478126179,-4.106666,-0.024313083954785233,0.19063883869173992,-1.2799989999999997,-6714.261421145868,-0.00024401752288658835
250mv0_converted.csv,250.0,-267.0,6.67235935421093,-3.04,-0.020283972436801228,0.9426034116408797,-0.213333,-226.32317830107456,-0.00020108841361558377
250mv0_converted.csv,250.0,-266.0,5.35906984133288,-3.466667,-0.018578110569643935,-0.3706861012371707,-0.6400000000000001,,0.00023723910479178932
250mv0_converted.csv,250.0,-265.0,5.54970788569613,-3.68,-0.02042292501936176,-0.18004805687392,-0.8533330000000001,,0.0001536409485163928
250mv0_converted.csv,250.0,-264.0,5.92039478126179,-4.32,-0.025576105455050936,0.19063883869173992,-1.4933330000000002,-7833.309362604212,-0.00028468726890005207
250mv0_converted.csv,250.0,-263.0,6.48172051551919,-3.253333,-0.021087195249915595,0.7519645729491398,-0.426666,-567.4017305451679,-0.00032083771648191766
250mv0_converted.csv,250.0,-262.0,5.35906984133288,-3.68,-0.019721377016104998,-0.3706861012371707,-0.8533330000000001,,0.0003163186828270186
250mv0_converted.csv,250.0,-261.0,5.54970788569613,-3.68,-0.02042292501936176,-0.18004805687392,-0.8533330000000001,,0.0001536409485163928
250mv0_converted.csv,250.0,-260.0,5.92039478126179,-4.746667,-0.02810214253518756,0.19063883869173992,-1.9200000000000004,-10071.400000000058,-0.00036602657028814075
250mv0_converted.csv,250.0,-259.0,6.67235935421093,-3.466667,-0.023130847985384343,0.9426034116408797,-0.6400000000000001,-678.9705957947798,-0.0006032661834501631
250mv0_converted.csv,250.0,-258.0,5.35906984133288,-4.106666,-0.02200790990902713,-0.3706861012371707,-1.2799989999999997,,0.00047447783889747715
250mv0_converted.csv,250.0,-257.0,5.54970788569613,-3.68,-0.02042292501936176,-0.18004805687392,-0.8533330000000001,,0.0001536409485163928
250mv0_converted.csv,250.0,-256.0,6.11103361995353,-4.96,-0.03031072675496951,0.38127767738347984,-2.133333,-5595.221347968781,-0.0008133922513255312
