I_target_uA,C_pF,C_th_mW_ns_per_K,S_e_mW_per_K,T0_K,T_init_K,sigma_W_sqrt_s,Rm_factor_scale,Tc_shift_K,w_scale,beta_scale,R_init_ohm,R_fast_ohm,tau_init_ns,tau_fast_ns,Rm_eff_ohm,Tc_eff_K,w_eff_K,beta_eff_per_K,reversal_threshold_K,recommended_dt_ns,dt_ns,dt_over_tau_fast,dt_over_tau_init,dT_step_over_reversal,estimated_steps,feasible,turn_count,pulse_turn_count,n_cycles,V_pp_mV,V_std_mV,baseline_mean_mV,plateau_mean_mV,plateau_std_mV,plateau_vpp_mV,plateau_turn_count,plateau_res_ohm,onset_overshoot_mV,onset_undershoot_mV,turnoff_undershoot_mV,dominant_freq_MHz,spectral_purity,period_cv,amplitude_cv,late_to_early_vpp,unstable,zigzag,oscillatory,trace_score
2000.0,145.34619293,49.62776831,0.20558726,328.0,328.0,0.0,1.0,0.0,1.0,1.0,1382.6077353586656,18.197838136784316,200.956770649951,2.6449864927379654,18.197838136784316,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.07934959478213896,0.07934959478213896,0.03,0.0003948590262746557,0.005775964328259161,10081.96704969279,1.0,2.0,2.0,1.0,1180.2219711852667,431.7630219221896,0.0,1140.7296741109617,317.5720348891817,1102.8842583122223,1.0,570.3648370554808,-368.6976897953198,1140.7296741109617,1118.0183814248435,3.572125513638087,0.5665004736816176,0.0,0.9609362959417743,1.0351632273676696,0.0,0.0,0.0,0.3375
50.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,0.0,0.0,0.0,31.918287256802635,6.282045227023079,0.0,66.98651032781666,0.39192725681439944,1.631571841442863,0.0,1339.7302065563335,-5.418931145554545,66.98651032781666,62.82361243098713,3.571705228026265,0.7398031826953363,inf,inf,0.005009706875680118,0.0,0.0,0.0,0.07212873862655736
200.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,1.0,1.0,0.0,116.51274394933918,21.96251792398728,0.0,257.5757121280722,0.45333284325455314,2.381423466601916,1.0,1287.8785606403612,-14.675300692976236,257.5757121280722,242.51440383626974,3.571705228026265,0.7217454121160493,inf,inf,0.0018202043230060307,0.0,0.0,0.0,0.10236745161356502
350.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,2.0,2.0,1.0,171.3347842684041,28.052342355636974,0.0,411.9491044968573,2.186256358244697,7.528168339954902,1.0,1176.9974414195922,-0.9623071232129519,411.9491044968573,390.63931119899416,3.571705228026265,0.5912613766175592,0.0,0.990491482411934,0.00543212929076021,0.0,0.0,0.0,0.23484719106375185
500.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,3.0,3.0,1.0,198.95075940939307,26.223713545657194,0.0,512.8266519534822,3.379101400669035,16.402974742230924,2.0,1025.6533039069643,38.50828638749181,512.8266519534822,490.2395950288428,3.571705228026265,0.378478254672507,0.0,0.9344573410185559,0.006724766227060197,0.0,0.0,0.0,0.24487619510770806
650.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,4.0,4.0,2.0,207.19309262208827,31.643432201952916,0.0,565.2641341571319,3.2242750796291384,9.47259218017939,2.0,869.6371294725107,98.94194172140794,565.2641341571319,544.4872835018408,3.571705228026265,0.4116802977882222,0.06516442838614091,1.5326466718435583,0.005664922267386334,0.0,0.0,0.0,0.2647658925814485
800.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,5.0,5.0,2.0,201.8662906632003,49.41783522494429,0.0,588.8492309492583,6.308814034350152,28.921975163037132,2.0,736.061538686573,173.73662768050542,588.8492309492583,571.039511623234,3.571705228026265,0.37002848823346346,0.015571503062656736,1.3953983672563013,0.014796963736827514,0.0,0.0,0.0,0.26759071227082815
950.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,6.0,6.0,3.0,313.1135995273045,70.187552102309,0.0,596.1817328491965,3.8782823322666835,24.158443083644897,3.0,627.5597187886278,253.93513501880352,596.1817328491965,581.4285684691977,3.571705228026265,0.3154888267944962,0.019604882714776534,1.7216068369961204,0.00633648529683908,0.0,0.0,1.0,0.6971048884810069
1100.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,8.0,8.0,4.0,434.8125945347843,88.96226678576546,0.0,591.2111589404441,5.438001236777788,20.677792623908886,4.0,537.4646899458584,338.02637596472925,591.2111589404441,579.1963406866138,3.571705228026265,0.27916045221062213,0.17628541993778551,1.9812057534727485,0.004713603975752466,0.0,0.0,1.0,0.7207338016273532
1200.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,8.0,8.0,4.0,515.4840394430458,99.43020140132646,0.0,583.4814336086724,5.086232827808778,26.312473611519977,4.0,486.234528007227,394.68902291044355,583.4814336086724,573.0575098634179,3.571705228026265,0.2658389068589818,0.051774796650375245,1.949419447926383,0.002365674883974209,0.0,0.0,1.0,0.7405096264154083
