mode,evaluation,elapsed_s,loss,mean,amplitude,robust,frequency,persistence,waveform,static_rmse_log10,screened,outside_domain,C_pF,S_e_mW_per_K,tau_th_ns,T0_K,Tc_K,w_K,beta_per_K,gamma,Rs_315K_ohm,Ea_over_k_K,Rm_ohm
dynamic_diagnostic,258,386.2155626669992,35.545200961821585,5.561303439174847,4.153065468740567,3.356817178721089,0.5582591883084167,1.0287566926919198,34.00152693057488,0.1603991911475192,False,False,0.5193930492053009,0.00300821391459464,16.585121229012856,310.58155176810646,331.03466515791445,4.391454749186797,0.28634729045326285,0.7154922025768258,2322.049779840115,2518.463228976555,19.081802072699922
dynamic_diagnostic,259,386.2155877089972,45.28557320175354,9.9346025025377,6.76312504579991,6.432666758662587,0.6241778685353663,0.18255089822344928,39.15934411154909,0.3195368807666406,False,False,6.1677483458064755,0.004599042722131878,13.625994307800694,320.43258767551964,333.6929128329759,6.971582885354721,0.5438876144116009,2.29430634545032,1586.1658619299699,2684.8812244111955,8.581314399709363
dynamic_diagnostic,260,386.2156113339952,36.84373100079588,11.29542871597537,4.069976349573086,4.030915716810694,2.7318633369620042,0.49706873850974415,34.86703001210326,0.18150762099209594,False,False,15.652925786567346,0.007907833105685902,15.555679836495528,319.1074559355914,332.4941679467615,5.924887726549188,0.33081438172877575,0.7993600852526078,1833.059501666328,2159.032978352947,28.410731222462662
dynamic_diagnostic,261,386.21563558399794,10034.962099688119,16.722290285833495,3.545246028709124,3.7365083428930013,0.9860131121483994,0.2452794167670863,34.5308962721331,0.08477454570657456,False,True,9.588219318448184,0.0021680652502071326,12.776809091631225,311.02693304450816,333.10120540749574,7.257831265638971,0.2985824741148675,0.9624577853657705,2851.546769614726,2794.4796126661063,14.519332315784222
dynamic_diagnostic,262,386.2156557089984,32.64240037128257,8.06240839705571,3.0914165876468247,2.858961836283224,0.7651122046153014,0.9533081280728545,32.017873635461314,0.10202342343968974,False,False,3.643373317818353,0.004209502763399441,53.94643631335342,316.6010509627176,332.74999240247257,7.258944208405618,0.33381666604429727,0.1005981302174385,2345.8336996617386,2965.870292416841,17.0500494437628
dynamic_diagnostic,263,386.2156778339995,10055.17680747308,32.3653925099907,4.732796737086687,5.327332247465318,2.353401166085582,0.0,53.06781555175887,0.18748297350793985,False,True,28.911808885379546,0.0011399435583065293,4.86351662581191,314.4693370558396,333.6313913133275,9.000975617905612,0.23026926529078703,0.17791894835616417,3445.318213094835,2131.498525824321,11.92502255281055
dynamic_diagnostic,264,386.2156971250006,35.4951823987767,6.446453018641031,3.8523052374254942,3.5557175734312896,0.5702321777454028,1.024016289739585,34.132397870096526,0.15070857798414405,False,False,3.090285734543507,0.0038873232373433956,16.448249199192468,317.9933829004336,333.7992086177641,6.235978375421707,0.19204515344628198,0.6511526529483898,2531.684870627072,2528.0173489160816,20.76393073820318
dynamic_diagnostic,265,386.21573933399486,10023.37753090827,6.214793064576413,1.1260160473492378,1.3158967776926438,1.278242333334784,0.5929247704636946,18.662956396548495,0.2803145409393351,False,True,8.41550243179579,0.0038922193596620264,19.944479876748094,314.9565126723285,334.07198887558184,5.785208011879957,0.23481160579963503,0.1736871081623711,2552.189151368335,2635.673572103726,5.6646460179758105
dynamic_diagnostic,266,386.21576133399503,41.26699974577991,12.880155256314385,3.333981411903833,3.091396068339102,0.5936216479140347,1.0140243673090659,38.43859879203079,0.21711751632657095,False,False,3.75263092786941,0.003630221631734576,14.39678453061803,314.19358469955205,332.4289215451316,13.069733668219907,0.3194857659985296,0.3315279039897091,2306.0675925936257,2540.248773376658,27.5981281866071
dynamic_diagnostic,267,386.2157828749987,33.63567592930962,6.551523337268853,3.122169010150839,3.284166841029592,0.6730672283263542,0.9816729856361097,31.318806650547458,0.19650569452148045,False,False,5.638295224974034,0.0038165957222044667,18.687440803099577,310.35831648560463,333.4781917202079,3.8561276252290595,0.2565741291907389,0.2662510653612249,1549.080438264667,2612.2120166838668,24.851188582991636
