Temperature,Resistance,frozen,prior_anchored,prior_amplitude,prior_joint_static,prior_joint_diagnostic,static_preserving,dynamic_diagnostic
313.1325,2755.164,2655.117195145946,2655.1498838521693,2654.103642271596,2589.86912393487,2428.569408367077,2933.854477516439,2563.022019750013
312.5245,2798.407,2697.041583263039,2697.0656155457596,2696.2326392570503,2631.3692153558454,2466.095039194687,2979.312297708113,2614.629869130011
311.916,2839.166,2739.8251037059204,2739.842728365019,2739.180370457919,2673.7238987396368,2504.381945675231,3025.668539284719,2667.5153552717907
311.3045,2877.579,2783.6731684078827,2783.686048066367,2783.160434345974,2717.1383766381664,2543.6122823380215,3073.1493669971846,2721.9456343479537
310.705,2916.197,2827.5129993994183,2827.5224526974625,2827.1037726637846,2760.5517963003276,2582.8251125948354,3120.5963142798764,2776.5954677458626
310.0895,2950.284,2873.4230015064254,2873.4298713352546,2873.0986094806417,2806.0236668054304,2623.878181182187,3170.2602949921334,2834.070103094518
309.473,2991.937,2920.3446501120566,2920.349632099153,2920.0877874024122,2852.5069965740963,2665.8234021283197,3220.996363006756,2893.066974113761
308.856,3035.18,2968.266737274144,2968.2703440562736,2968.063511685811,2899.991678495727,2708.64972807687,3272.79290677214,2953.5860169502785
308.2435,3074.318,3016.8151360052525,3016.8177499099625,3016.654158897864,2948.1077540979877,2752.022045684913,3325.2459537414147,3015.16554941777
307.6305,3118.701,3066.4005589004914,3066.402450459176,3066.2731309336928,2997.26295253018,2796.306572351013,3378.7993621916175,3078.3375498843484
307.0095,3164.268,3117.675569403689,3117.6769309124666,3117.5750473134035,3048.1051528704556,2842.0849966619576,3434.1572027800353,3143.9533690166327
306.386,3243.543,3170.238725040198,3170.2397026833305,3170.15953209475,3100.2373286548436,2888.9977190710415,3490.885083904369,3211.5215556173466
305.7635,3288.126,3223.825826871777,3223.826528550867,3223.763432974113,3153.398201902506,2936.8080765962077,3548.6971912838944,3280.719099340103
305.1535,3342.256,3277.437784276732,3277.43829079952,3277.3884028173557,3206.5968871884293,2984.624416832429,3606.5156364571644,3350.2613922392916
304.5305,3394.523,3333.345101436536,3333.3454642399474,3333.30622182027,3262.087088976209,3034.4709753126267,3666.7882655642575,3423.1102423408934
303.91,3440.385,3390.214896824081,3390.215156826053,3390.1842622431445,3318.546906582163,3085.158128826921,3728.076745836374,3497.5538803311915
303.2915,3499.933,3448.1097128081815,3448.109899199004,3448.085560185914,3376.03897848407,3136.7409809214055,3790.4478060158303,3573.687908577523
302.688,3548.426,3505.792279293291,3505.792413906038,3505.77312954961,3433.334733197972,3188.117067415578,3852.5684898107797,3649.8883845790137
302.0735,3597.12,3565.765957317795,3565.7660538992386,3565.750839968746,3492.9213019100976,3241.5153961878937,3917.1340183769657,3729.476795595234
301.462,3640.62,3626.7195626432476,3626.719632008752,3626.7076158985747,3553.4969647892863,3295.7673358986426,3982.731387298999,3810.7384403288024
300.8525,3686.243,3688.7688802768253,3688.768930121572,3688.759432582239,3615.1773302607307,3350.9752994977243,4049.4844486596094,3893.8421404344003
300.246,3730.963,3751.828361639498,3751.828397496491,3751.820882031106,3677.8779045905203,3407.062522198934,4117.3003985702835,3978.6880396989177
299.6415,3781.103,3816.018445605644,3816.018471415583,3816.0125197961834,3741.718994405134,3464.1354688569577,4186.307973564683,4065.453213300156
299.0515,3839.431,3879.989488084241,3879.989506801037,3879.984767134066,3805.3583748039305,3520.994053886418,4255.056146304064,4152.316956978745
298.449,3882.552,3946.6957499875293,3946.6957634626574,3946.692007062,3871.735674013848,3580.263259779244,4326.718803682687,4243.309191426595
297.8475,3932.685,4014.7168688710017,4014.7168785737235,4014.713900241731,3939.4387999184514,3640.679557513583,4399.768197294423,4336.525330889404
297.246,3978.101,4084.1982411378144,4084.198248121529,4084.1958866294626,4008.613244830372,3702.3711615139896,4474.359346322467,4432.185651943899
296.6585,4023.934,4153.50740754203,4153.507412605521,4153.505529998254,4077.6339598147483,3763.8884050059514,4548.73946354701,4528.049444827738
296.0595,4071.89,4225.6803426478755,4225.680346294851,4225.6788520469845,4149.525015888175,3827.9250780665593,4626.16558755334,4628.336056142173
295.4605,4115.755,4299.41324552159,4299.413248147467,4299.412062095056,4222.989101746709,3893.322683657644,4705.236976036893,4731.27080551236
294.8615,4166.059,4374.745752979364,4374.745754869453,4374.744813402474,4298.066615529874,3960.115296781243,4785.994819421017,4836.933929574045
294.2735,4217.583,4450.290092232287,4450.290093600613,4450.289343068915,4373.374856661043,4027.0720280082396,4866.950866370063,4943.390528933418
293.671,4264.227,4529.378505811087,4529.3785067935505,4529.377911778002,4452.236781495079,4097.144975070397,4951.674427037318,5055.367254001077
293.067,4312.559,4610.415613692557,4610.415614397201,4610.415142919835,4533.063392064253,4168.918445462323,5038.453800374823,5170.653848934291
292.462,4364.999,4693.390897310215,4693.390897815197,4693.390524348777,4615.845374902505,4242.3817186394035,5127.276011407848,5289.268001236238
291.857,4416.657,4778.218818198083,4778.218818559889,4778.21852271179,4700.49852553095,4317.457710955732,5218.04784802661,5411.1192152735
291.265,4465.904,4863.064011422243,4863.064011683274,4863.063776131319,4785.191616014775,4392.521642176835,5308.8048398764695,5533.582907031808
290.658,4514.692,4951.998206838397,4951.998207025132,4951.998020548376,4873.990324463225,4471.174353825015,5403.900615776108,5662.571258397362
290.051,4575.27,5042.947454738371,5042.947454871927,5042.947307236072,4964.825917992586,4551.579203542779,5501.114543248387,5795.132734173654
289.8545,4625.355,5072.8304300727905,5072.830430192609,5072.830293305665,4994.676970533427,4577.991113718422,5533.047946662727,5838.830246260192
289.9035,4621.158,5065.358307116163,5065.358307118442,5065.3583062074695,4987.212580845182,4571.387217029541,5525.063488798609,5827.897300881603
290.0365,4608.779,5045.145129631654,5045.145129634108,5045.145128675324,4967.021155074193,4553.521715867095,5503.46314647002,5798.343987520579
290.3695,4580.166,4994.970806667338,4994.970806670295,4994.970805580484,4916.90611380871,4509.168573087078,5449.837773979853,5725.123772156629
290.9595,4539.305,4907.575546588286,4907.575546592394,4907.575545224875,4829.632304084658,4431.89095264274,5356.404700010984,5598.062388341026
291.79,4480.225,4787.729017643562,4787.729017650091,4787.729015767565,4709.990555044424,4325.872891473163,5228.222344864423,5424.816931180138
292.7445,4410.404,4654.418575972908,4654.418575984023,4654.418573265533,4576.961070408951,4207.880401414607,5085.561555763164,5233.485236307562
293.669,4343.199,4529.643923128337,4529.643923146941,4529.643919265899,4452.501478227805,4097.380093010112,4951.958712655679,5055.743960519163
294.508,4283.92,4419.970284361106,4419.970284390791,4419.970279029041,4343.147475507558,4000.201688854736,4834.4625192847125,4900.604765578884
295.234,4230.408,4327.708497660056,4327.708497704525,4327.708490612265,4251.18627522233,3918.413101209247,4735.573435740356,4770.900064603158
295.875,4176.324,4248.223000783209,4248.223000846735,4248.2229917673785,4171.983461368373,3847.921814385388,4650.34343720607,4659.755504887924
296.46,4128.7,4177.254065482588,4177.2540655705425,4177.254054195232,4101.285823630352,3784.9605294581297,4574.217636465394,4560.99452924619
297.0595,4087.325,4106.04383202953,4106.043832152276,4106.043817820363,4030.366047649142,3721.763098852747,4497.806103184624,4462.3538700372255
297.681,4039.052,4033.802170150745,4033.802170324125,4033.8021521132837,3958.4380390506244,3657.627302012686,4420.259778144877,4362.757276362564
298.3275,3993.768,3960.3197537114543,3960.3197539597368,3960.319730596205,3885.294631742663,3592.3657694991225,4341.352098928981,4261.945055603697
298.9865,3943.809,3887.118343561639,3887.1183439195884,3887.118313801226,3812.451322825208,3527.3290810065596,4262.716041492597,4162.021348612125
299.632,3897.701,3817.0381133732244,3817.0381138853204,3817.038075261924,3742.733342000145,3465.0418811560357,4187.404173130504,4066.8349860098338
300.2845,3849.325,3747.7858420228717,3747.785842758187,3747.7857930967975,3673.858041449003,3403.4674971941145,4112.953953711026,3973.2375699615213
300.925,3801.997,3681.3194042972887,3681.3194053458797,3681.3193417909297,3607.771495355122,3344.348111077112,4041.471886137954,3883.8452700369817
301.5555,3758.959,3617.3162474361948,3617.3162489229217,3617.316167907327,3544.151192013233,3287.399001033439,3972.6137298465087,3798.1785320690183
302.18,3716.547,3555.281061790919,3555.281063891351,3555.2809608678303,3482.503323594809,3232.1812112246353,3905.848752126103,3715.537251886222
302.79,3671.288,3495.959480853253,3495.959483796286,3495.959353532663,3423.567322971362,3179.360301557124,3841.981712599815,3636.8758760618443
303.4165,3614.242,3436.3107442817677,3436.3107484421084,3436.3105827151558,3364.3215374093065,3126.2295168778583,3777.7398147539784,3558.1449444718432
304.0445,3570.742,3377.78630276921,3377.7863086535644,3377.786097730572,3306.207560995756,3074.081755376761,3714.6863365419736,3481.2574370595958
304.6715,3528.168,3320.5892671509273,3320.589275466622,3320.5890071915214,3249.4263873881146,3023.0988297885056,3653.0411195917795,3406.4621845374013
305.2965,3485.708,3264.7717099618276,3264.7717216968003,3264.771380836896,3194.028916261281,2973.3281121756504,3592.8614498937,3333.80699969582
305.905,3441.841,3211.547979547148,3211.547995952205,3211.5475657418906,3141.2190826073115,2925.8539415231107,3535.4584550043787,3264.8411525640413
306.523,3392.485,3158.5972598161106,3158.5972828621807,3158.5967381196565,3088.693263767631,2878.6072426230953,3478.3303356926262,3196.536025904051
307.1385,3349.614,3106.940013731068,3106.9400460503884,3106.93935726557,3037.4633611600125,2832.4989942387506,3422.5785954626067,3130.198025272532
307.7555,3310.478,3056.211976217712,3056.2120215616956,3056.211150628066,2987.1675021957867,2787.2048066841116,3367.81099763606,3065.3436997975596
308.361,3260.856,3007.4320839767443,3007.4321471692547,3007.43105141055,2938.8150783197966,2743.6355150279614,3315.1288805746212,3003.2545737431014
