evaluation,stage,C_pF,C_th_pJ_per_K,S_e_mW_per_K,T0_K,Tc_K,w_K,beta_per_K,gamma,objective_total,objective_waveform,objective_mean_voltage,objective_amplitude,objective_relative_amplitude,objective_spectrum,objective_frequency,objective_classification,objective_false_positive,objective_sustain,objective_edge,objective_prior,best_total_so_far,global_evaluations,fit_mode
63,global,4.153566373196574,0.07017776100688627,0.017288394755057803,316.11301441345955,337.4862507367158,5.104144259978024,0.831139288785323,2.425232878696624,2528.364250337297,3.7249416749990547,41.33876561854536,132.06138974662983,3.487433565735199,0.606663866238283,2.719368321361971,0.6470588235294118,0.29411764705882354,2.503933932231526,2.834662691798771,0.0,65.16371939470066,352,relaxed
64,global,27.462344318258705,0.046698329670294005,0.0016473893723911968,314.1266239663558,337.4904821417835,18.804475888857258,0.48142351884035195,1.212626038890494,1223.4548758601652,2.224659444653285,3.7370120186451055,24.076985101566578,2.066360251250404,0.6016566121987889,1.8823529411764706,0.47058823529411764,0.0,0.6148304047067212,1.5680163977848547,0.0,65.16371939470066,352,relaxed
65,global,0.1865250712872566,0.10032606215061692,0.007220871578218524,317.53772271,332.34968096659986,12.773350937499998,0.31647191242831674,2.2432795362164493,1196.7870256898957,0.5617455451076396,6.048356153014472,2.251971293944105,1.576907818980436,0.618753468072966,1.8823529411764706,0.47058823529411764,0.0,0.6010690072314363,1.5128488206933826,0.0,65.16371939470066,352,relaxed
66,global,14.050571868454762,0.05896625712074673,0.0031092034518013798,313.0456584611287,331.8156318076834,8.031652485720546,0.24688368242520492,0.9919712658040734,1058.0240763183592,1.4691021801303323,1.202234080423801,13.000091191107934,1.3901845392035888,0.6358010331842796,2.075582333989724,0.4117647058823529,0.0,0.309855758156657,1.6007187403881602,0.0,65.16371939470066,352,relaxed
67,global,16.806146684807935,0.05011976188831598,0.018914221209450726,318.48838385089687,332.78433607482077,13.80991477443761,0.2587215924831599,1.6066769241269023,2773.780486764246,3.171607491200904,25.96156764711415,98.74993778205967,2.115233244797341,0.572080130047533,3.0588235294117645,0.7647058823529411,0.29411764705882354,2.2790691019243288,2.0193305667275534,0.0,65.16371939470066,352,relaxed
68,global,14.833417039496341,0.08890616048142057,0.009252588683257396,318.2745923996044,336.4245032586711,3.8301111068060525,0.08621727436702786,1.3487734585617712,2417.777821568005,1.950637922298607,6.251697676078819,40.34423925661592,2.031271096527813,0.6647948035694266,3.9451242779673503,0.6470588235294118,0.29411764705882354,1.2858095608239115,1.7305067760148716,0.0,65.16371939470066,352,relaxed
69,global,7.375074544069707,0.19883252767976817,0.015365422361033654,319.0356618970375,334.5806319005553,8.044109326717141,0.5405946849099519,0.12543263967482687,2023.505409915685,2.4460632198126944,17.89868536589437,83.33573101055315,2.374089461327923,0.627878763871867,2.8605907572278917,0.5294117647058824,0.23529411764705882,1.0857210059419349,2.539964499295915,0.0,65.16371939470066,352,relaxed
70,global,5.992723299883053,0.10868998050530934,0.010230001589863551,312.70096299196416,330.56845882135246,15.451140952652011,0.5883106615568559,0.18686970348286502,2362.2421245142505,4.086825676272138,27.954710484944503,121.08868485088567,2.767805566846118,0.5988047823915085,3.1159092244840747,0.5882352941176471,0.29411764705882354,2.7172000161131002,2.6921165505445224,0.0,65.16371939470066,352,relaxed
71,global,19.59628286210501,0.03257762191856087,0.006493164762091783,318.064019506708,340.104456857934,10.249264699928803,0.4620965200525379,2.4477003704719635,2151.349799529214,2.4723437058310695,3.340098958378016,62.65030898266852,2.380627395683173,0.5443011860343545,4.225190406675745,0.5294117647058824,0.29411764705882354,3.289386052669969,1.6015768458499582,0.0,65.16371939470066,352,relaxed
72,global,5.168154761180439,0.015109024343412034,0.01303527517068811,311.5543038543049,334.0849056703361,12.868925897335794,0.49034120738829917,2.4687363819440185,2345.6697968480585,3.1322881202031088,27.369724245901736,99.41742605883768,3.4263781368805533,0.6178526297219791,2.894416754198523,0.5882352941176471,0.29411764705882354,1.500640763983827,2.3200419286323513,0.0,65.16371939470066,352,relaxed
