Temperature,Resistance,frozen,prior_anchored,prior_amplitude,static_preserving,dynamic_diagnostic
310.225,3128.327,2863.2563738189506,2863.25654890213,2863.2543382947583,2795.972675217915,2614.7746453739096
310.8455,3088.009,2817.1899065565744,2817.190152108042,2817.1873659278745,2750.3547670761277,2573.573746895869
311.4505,3040.406,2773.164927304406,2773.1652686097423,2773.161782061374,2706.768902165925,2534.1858101088137
312.0675,3002.039,2729.151398732419,2729.151875969046,2729.1475007811046,2663.204682961633,2494.795323938105
312.684,2960.845,2686.045077616819,2686.0457443354526,2686.040265770674,2620.54849548581,2456.2041803987336
313.299,2920.112,2643.891417528538,2643.8923476046148,2643.885506947018,2578.844737971327,2418.4537193003735
313.914,2880.922,2602.5648319798797,2602.566128552517,2602.557610455594,2537.9685818938315,2381.4321013269805
314.5165,2836.156,2562.8617814167014,2562.8635754694847,2562.85304901937,2498.7069658761784,2345.853752865045
315.1345,2791.071,2522.9244609541965,2522.92696224613,2522.913933600557,2459.2221971187546,2310.0543866652
315.758,2747.021,2483.420810650024,2483.4243053310256,2483.4082267229323,2420.1743996916575,2274.6327980179303
316.38,2701.95,2444.7834153295044,2444.788289534712,2444.7685735459654,2381.9904539878657,2239.977453465221
316.9985,2645.195,2407.109234094489,2407.1160130734015,2407.0920382082822,2344.7651719030496,2206.1761929665777
317.5995,2600.289,2371.196723231477,2371.206054425732,2371.177310533578,2309.286113981521,2173.9466839809925
318.211,2572.319,2335.3439445737195,2335.3568467159494,2335.322657168357,2273.8705089339505,2141.762595229714
318.8225,2532.946,2300.167613905542,2300.1854324345045,2300.1453527587346,2239.1260641738004,2110.178394173425
319.4345,2489.118,2265.6229291983677,2265.6475124320455,2265.6014305704307,2205.0064716281154,2079.1551459122347
320.0415,2449.457,2231.9961444615465,2232.0299250026737,2231.9784080048994,2171.791827364432,2048.9515654992815
320.6505,2408.376,2198.8772389458472,2198.923636822884,2198.8682674081183,2139.073721813359,2019.201356763394
321.2665,2339.71,2165.9891422488395,2166.052996468864,2165.997195333763,2106.5737117722783,1989.6580551016314
321.8825,2276.551,2133.695227513825,2133.782944191801,2133.7331823356485,2074.6445363312732,1960.6512126394389
322.499,2240.716,2101.9465461151826,2102.066829362359,2102.0343315166333,2043.2295195600923,1932.1407906258532
323.101,2205.008,2071.4701664801237,2071.6335322953178,2071.6357705945625,2013.038408926018,1904.784063555215
323.7165,2163.828,2040.8152267781466,2041.0380846576518,2041.1051327960588,1982.6196824838407,1877.2842349883842
324.3315,2127.1,2010.6548368922888,2010.9579286233677,2011.1362127091486,1952.6204014324567,1850.2520814238212
324.947,2085.574,1980.8880005888882,1981.2990177320933,1981.6607995648503,1922.9144266676672,1823.6038135499402
325.548,2042.957,1952.1606271455457,1952.7121025826625,1953.359469151751,1894.1172967408443,1797.9222633404804
326.164,1999.003,1922.9731842811805,1923.7155335333377,1924.8207865516522,1864.6821517478625,1771.8697256133692
326.779,1950.229,1893.9691505630208,1894.963192544926,1896.7761635380834,1835.1949401577165,1746.017556146772
327.395,1911.083,1864.8828875564127,1866.207106645785,1869.1045589463615,1805.3123785292632,1720.1097474041087
328.0045,1864.491,1835.8362038995058,1837.5833344722166,1842.1033238133145,1775.0741781426832,1694.2085562093905
328.6135,1813.314,1806.2280260131975,1808.5143355393022,1815.4605747806006,1743.754571696349,1667.6858013169956
329.23,1757.532,1775.2077286753283,1778.1797423546063,1788.7841149665587,1710.3212304279243,1639.6024236001251
329.8465,1677.67,1742.5035153690787,1746.3185407698,1762.345408816112,1674.3398041801527,1609.3998796960987
330.4575,1623.589,1707.5768363365553,1712.3859854087561,1736.3069667276764,1635.1156423379216,1576.0894261385097
331.07,1570.262,1668.9023456622995,1674.8433255879468,1710.2831850017074,1590.890069051389,1537.452981931899
331.6895,1507.363,1624.5024910996083,1631.6534332559372,1683.9344489154132,1539.4590265843324,1490.3365862241412
332.3085,1433.858,1572.821468958031,1581.0944086968707,1657.4452989341999,1479.3076756945213,1431.525030302371
332.9255,1368.26,1511.5839910194566,1520.6241587198979,1630.7155883287235,1408.4245439763865,1356.729522535162
333.5255,1148.025,1440.118474564247,1449.1918405123754,1604.2166733508104,1327.0423519385465,1264.0082993217106
334.137,1046.644,1352.6175955531974,1360.5167122982057,1576.4563206686398,1230.0435044692754,1145.853527669008
334.747,987.3842,1248.6995218037653,1253.731505906509,1547.7112194455042,1118.9650059697246,1004.2296290056713
335.357,934.177,1127.9054984577078,1128.1210776723713,1517.5548377773375,995.3290704002652,844.5625039963616
335.967,861.133,992.5573597216924,986.2601856671322,1485.5548862815754,863.1740133320251,678.5192104724443
336.5775,797.9533,847.9149938725411,834.3199108870327,1451.1697619071551,728.4312682874606,520.6063097229188
337.1765,714.726,704.6864108173269,684.5216096750777,1414.5629990944865,600.5672090921606,385.8090520804034
337.7895,633.214,565.4052773351282,540.4529372261803,1373.4901211540298,480.5370345698584,275.07621144083873
338.4025,549.194,440.92993365104553,413.87655777500834,1328.029424379746,376.0246963606354,192.19806792511926
339.0155,448.6495,335.8265642585484,309.2672825149045,1277.4193518546122,289.14663672212873,133.33258729179104
339.621,333.872,252.27432842307178,228.07855687565092,1221.6728491157837,220.4841849143259,93.48819247846879
340.2265,212.2474,187.584061249427,166.76927540367072,1159.6496330703944,167.19411471528716,66.82445729452067
340.8395,134.7614,138.5430665286711,121.44894764685438,1090.1601076013585,126.43333730565533,49.12152687068709
341.452,89.94282,102.80593952030031,89.23330389090046,1014.0946729767811,96.31585626337706,37.69014761111165
342.0655,63.6381,77.17885111708738,66.67907840289803,931.8981309458001,74.34163190272172,30.35002582910219
342.6725,48.96208,59.24147303767846,51.25107851731338,845.8921672883946,58.65733161199063,25.70993334496018
343.2795,39.77355,46.64728245148696,40.65422155855477,757.0449113298221,47.41210652653757,22.74738361600366
343.8925,34.15695,37.79202149500641,33.36048310801115,666.7387410969916,39.32967178586699,20.845120421320473
344.506,31.08485,31.66366161177933,28.416762207248496,578.3178320526164,33.60781190850152,19.639377450687352
345.1195,27.58192,27.440907394260506,25.078797056415635,494.31529123150347,29.57327182360104,18.876551970271805
345.7185,25.5661,24.594809119057345,22.87296721937987,418.539846715789,26.790804069534182,18.40323445526052
346.3315,24.10255,22.586030353076943,21.345934576719234,348.8119162779314,24.78123394914908,18.09520572592994
