mode,evaluation,elapsed_s,loss,mean,amplitude,robust,frequency,waveform,static_rmse_log10,screened,outside_domain,C_pF,S_e_mW_per_K,tau_th_ns,T0_K,Tc_K,w_K,beta_per_K,gamma,Rs_315K_ohm,Ea_over_k_K,Rm_ohm
static_preserving,61,45.05436599999666,92.23642105743065,58.609370606266,3.4137394633509652,3.1835376310631585,0.0643735258006952,72.0663133902824,0.11227785753196243,False,False,2.4108563371344753,0.0077941918171478275,11.952703507511213,314.1249310311431,334.4174090732634,6.970123140304218,0.23975715471414177,0.312996975152339,2453.3712968206573,2539.921107837652,19.62005207210517
static_preserving,62,45.80489362499793,10074.438419633372,41.409960183899294,3.0941613655126776,3.290464014597914,1.0473595452436149,54.50658806765705,0.11161269967423881,False,True,14.59699230257274,0.0012833271068336386,8.676313283059326,315.82891038231156,335.6736851669674,6.890727862419774,0.3666073850353427,0.8917787401100266,2141.623429957295,2332.5121686260454,15.025656732525114
static_preserving,63,46.547333333001006,10066.007455320554,27.27906749040935,7.110427519325073,7.956656387987995,1.11081552740852,57.12241420007683,0.07451946524431141,False,True,8.667767445946955,0.0069917281229499835,13.04553827312188,314.6780627550483,334.8905110794063,5.667040508555759,0.3871358322453101,0.12837133231145906,2198.063242679463,2479.1893130834774,19.418756242468405
static_preserving,64,47.28676204099611,32.99834000679043,7.678582705033203,4.233450158932461,3.451488942235054,0.010288318156868429,23.835566283144075,0.07567518468612396,False,False,0.92970554711975,0.0040435244981143655,13.270069632412218,314.39862977783565,333.19477857342963,6.512232964012137,0.22524597850046382,0.17826237137790463,2551.1439860110254,2555.458155230265,18.639492506267302
static_preserving,65,48.01878333299828,118.71305352481363,11.646560462682569,3.3151365773197905,3.0853654718568837,0.06621446432221628,24.710442898659927,0.24238735866654862,False,False,3.981413085628114,0.0044905803393646415,14.618908586240778,313.56948783487366,333.1953986062984,6.454889882853211,0.19732365100658938,0.23115366740914625,2719.5056668174316,2742.9955247267317,39.39865919290403
static_preserving,66,48.74795045799692,70.546212575027,10.6748259225173,3.2302520232738363,2.9579682086184134,0.4812514630717821,23.564175932493114,0.17135860906760325,False,False,4.836380628562794,0.003662781171282452,13.104984305403136,314.4097854250221,333.1662516963559,6.5971391507485695,0.3405383504271399,0.1604556468875423,1617.9092782649748,2561.050290871109,18.142628471375158
static_preserving,67,49.476766457999474,10252.465678661129,169.68642880813601,10.524464149634014,10.146421462270553,3.022266296479746,212.9173758675485,0.15721860337119087,False,True,13.17839307814732,0.013958064034171687,11.140944647728649,314.6587286428852,336.3047132469596,5.929068141962513,0.32308305042724705,0.16701859150401135,2517.3742331396274,2573.2881450243485,18.303399128329282
static_preserving,68,50.227240082997014,10104.655530126478,11.491050322567478,2.870937721548115,3.212194568150476,0.9535252332155637,23.792820671970084,0.22480923781968343,False,True,9.465939091324012,0.005017259454084186,12.853182247161412,315.0657448225217,336.3441990611114,6.857073864179971,0.20920650018103837,0.6871107319971743,2147.606753309233,2450.087928373956,11.916668596073336
static_preserving,69,50.95446033299959,105.58446106921595,7.643900871526449,3.7569091970929573,3.4171343890188326,0.03863688868124168,22.351081296164775,0.2280808241789673,False,False,3.3724671202208456,0.004019676900017589,19.648616857206555,312.88008744703484,331.5777168544827,5.632046418481683,0.3065534729893447,0.4007075170382023,1573.4221078025137,2787.6075600277295,21.75774510118882
static_preserving,70,51.69518608300132,38.99827746186641,12.809253513345242,1.4574100896788504,1.4631068640676546,5.245859266544716,21.267520279721808,0.10526976412455939,False,False,7.954528309207821,0.0033420170517969422,56.88494025037053,313.6561158118039,331.2900809518175,5.41929894042448,0.22148001959717442,2.1547014058557745,2596.7713742332357,2719.351159040574,23.104647844108396
