window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,candidate,dt_ns,source_mV,split
3,200.0,250.0,267.71954060794815,1.8130201066719565,1.573230004367474,0.14536607843032442,0.006515634148134275,frozen,0.025,400.0,validation
0,50.0,100.0,245.34359660401046,2.4147912822500643,2.005374135620798,1.3628539973266138,0.01038615550472044,frozen,0.025,450.0,validation
1,100.0,150.0,245.03602120265612,1.6577492040057962,1.1831606910380401,0.3961089739481091,0.023015406221660095,frozen,0.025,450.0,validation
2,150.0,200.0,245.0291166334204,1.4233399620959517,1.2387407915296649,0.29691224019914614,0.008495662436619367,frozen,0.025,450.0,validation
3,200.0,250.0,245.01912021279466,1.6243427111469089,1.5154602942759823,0.7751472412115589,0.0067517998025267145,frozen,0.025,450.0,validation
0,50.0,100.0,225.38392986818246,2.377983772930179,1.7559183633337625,1.0098930636246037,0.06637750874312565,frozen,0.025,500.0,train
1,100.0,150.0,225.17325843060792,1.2917214517904654,1.1706077204811152,0.11268260927171263,0.0024238904081811397,frozen,0.025,500.0,train
2,150.0,200.0,225.0771776220576,1.309570602392938,1.1545015242797376,0.21966085297108862,0.001837717592527488,frozen,0.025,500.0,train
3,200.0,250.0,225.01361595994393,1.0215330592102703,0.942791695212378,0.1005719206464365,0.0031741126809006204,frozen,0.025,500.0,train
0,50.0,100.0,208.6557054337455,2.6263590457918724,2.0187702831468073,0.3092923606301029,0.038086900723731,frozen,0.025,550.0,validation
1,100.0,150.0,208.13075244089904,1.7766356597817605,1.6904481918158467,0.2129953271359724,0.009107987143469831,frozen,0.025,550.0,validation
2,150.0,200.0,207.9104559376506,1.6184822592150852,1.3822402734478487,0.029720142482976376,0.0002221166607471181,frozen,0.025,550.0,validation
3,200.0,250.0,207.7567090269948,1.6752950971206246,1.6106657586495317,0.12774333288644563,0.0048780928410377955,frozen,0.025,550.0,validation
0,50.0,100.0,194.0351556625915,2.189397610850932,1.6593448644717341,0.2982599023590999,0.06883428487563759,frozen,0.025,600.0,validation
1,100.0,150.0,193.66336626499444,1.385971658186378,1.0400761854937457,0.10950236690292742,0.008942934046199502,frozen,0.025,600.0,validation
2,150.0,200.0,193.78474026076267,0.8773063389315894,0.7867777278157462,0.07226702063785484,0.0033428773522891087,frozen,0.025,600.0,validation
3,200.0,250.0,193.70171703909926,0.7289497389714086,0.6894358771854456,0.07383513777389866,0.0062796802402687035,frozen,0.025,600.0,validation
0,50.0,100.0,181.923117283348,1.9154249788509219,1.3247816160968569,0.5142591569004079,0.10585817804601483,frozen,0.025,650.0,train
1,100.0,150.0,181.51662631491433,1.001134460066197,0.9042288685731705,0.06599697180895221,0.0013277691964526106,frozen,0.025,650.0,train
2,150.0,200.0,181.32076412955462,1.134663424569709,0.8720365097886429,0.12561341537642293,0.014265361993156533,frozen,0.025,650.0,train
3,200.0,250.0,181.22944413084758,0.9442855929108873,0.8972611544365634,0.1594868752443184,0.012711286219541873,frozen,0.025,650.0,train
0,50.0,100.0,170.98133076797214,1.9761171837195945,1.3248806098395391,0.7171821638912698,0.08542496727643245,frozen,0.025,700.0,validation
1,100.0,150.0,170.5881099191594,1.1440218289084783,0.961272524457172,0.610460415361347,0.006412259749840055,frozen,0.025,700.0,validation
2,150.0,200.0,170.38845047409265,1.1656002117959474,1.0816344379605596,0.11726007106051063,0.001419456749122583,frozen,0.025,700.0,validation
3,200.0,250.0,170.35290343150777,0.9633009403345056,0.8712837896618453,0.8039657333493834,0.012491603005538865,frozen,0.025,700.0,validation
0,50.0,100.0,161.82956307273295,1.7178488324680359,1.421547658239632,0.23332641528249343,0.028246336795113236,frozen,0.025,750.0,validation
1,100.0,150.0,161.86352705830294,1.261779652365533,1.2030987587064317,0.04898225666270267,0.0013693407153159143,frozen,0.025,750.0,validation
2,150.0,200.0,161.83861089467462,1.5129916385315596,1.3770159416328056,0.25413395147437917,0.035754194658812244,frozen,0.025,750.0,validation
3,200.0,250.0,161.81226792699567,1.3024408068559126,1.2453110588890013,0.0795274493868721,0.0037515455001032594,frozen,0.025,750.0,validation
0,50.0,100.0,153.16021684658358,1.2623521172812673,1.13045183008893,0.13065661571528214,0.013399568128072525,frozen,0.025,800.0,train
1,100.0,150.0,153.01764576135085,1.2654190338427043,1.0111436262039604,0.1459742226593558,0.022885099846777557,frozen,0.025,800.0,train
2,150.0,200.0,153.10721957653453,1.0961007657249695,0.9637084631726793,0.15759712488401492,0.0281474488936303,frozen,0.025,800.0,train
3,200.0,250.0,153.0531581819116,1.058311097701079,0.9527353217673067,0.12373589168976658,0.017202104319704814,frozen,0.025,800.0,train
0,50.0,100.0,145.21526671148706,1.4765853216807727,1.220045881719983,0.20592539321280676,0.027347248198558605,frozen,0.025,850.0,validation
1,100.0,150.0,145.23619428702963,1.3572310171802542,1.2072060525078427,0.0638849994187916,0.002896340836290645,frozen,0.025,850.0,validation
2,150.0,200.0,145.2945373027401,1.1037276590050737,0.9785636210109772,0.08073935916857491,0.005751194598076492,frozen,0.025,850.0,validation
3,200.0,250.0,145.28020515830366,1.0794351261060626,1.0230008608056664,0.0624563127784295,0.004076285112843636,frozen,0.025,850.0,validation
0,50.0,100.0,138.37623661587511,1.3069214936030278,1.1645951413716205,0.6418298514121986,0.00556583561949453,frozen,0.025,900.0,train
1,100.0,150.0,138.2791224595771,1.1214907419453937,1.0435472272833124,0.3059124161525032,0.0019030183620327712,frozen,0.025,900.0,train
2,150.0,200.0,138.36152784713812,1.188049211055045,0.9523474518511534,0.18991586995988588,0.0017975846085397373,frozen,0.025,900.0,train
3,200.0,250.0,138.3009938903431,1.265321750795465,1.1780925713629244,0.5599762552249098,0.006372309803744369,frozen,0.025,900.0,train
0,50.0,100.0,132.04902950207554,1.4507323182316725,1.2419372424142807,0.08237287292368141,0.006547391760854726,frozen,0.025,950.0,validation
1,100.0,150.0,131.79810026199144,1.1340227759935715,1.062740510279184,0.15279012117236485,0.015870615779222663,frozen,0.025,950.0,validation
2,150.0,200.0,131.78096363228318,1.1961171977013123,1.0758672260808737,0.06360703234996354,0.0035771213288160464,frozen,0.025,950.0,validation
3,200.0,250.0,131.93042071558202,1.3127644208187235,1.148830444775939,0.24291336786213552,0.030784005607877196,frozen,0.025,950.0,validation
0,50.0,100.0,127.0391853418887,1.5634280420799058,1.5262666595325385,0.2012524655301786,0.012226350079083126,frozen,0.025,1000.0,validation
1,100.0,150.0,126.95769746585025,1.6509050275623451,1.5158403031218484,0.2140892405926224,0.009814735121423501,frozen,0.025,1000.0,validation
2,150.0,200.0,126.96717955377756,1.5535806821382039,1.2910696738648682,0.24676788654029583,0.014440766841197217,frozen,0.025,1000.0,validation
3,200.0,250.0,126.9491074278969,1.4549325171865206,1.261431358514855,0.07719476265807797,0.0015931801652687705,frozen,0.025,1000.0,validation
0,50.0,100.0,117.17472915006064,1.9624108745063324,1.733196854192684,0.3492119797422598,0.005599574566973464,frozen,0.025,1100.0,validation
1,100.0,150.0,117.09036627517129,2.078749165328091,1.7705322118129345,0.19293042572738486,0.005206519398158194,frozen,0.025,1100.0,validation
2,150.0,200.0,117.1156887062719,1.9100256505282545,1.6097899975255103,0.32253750867343867,0.008126310756736865,frozen,0.025,1100.0,validation
3,200.0,250.0,117.1103072820258,1.7893503839796239,1.7026412175482335,0.5466401034769328,0.010285651460187784,frozen,0.025,1100.0,validation
