C_pF,C_th_pJ_per_K,S_e_mW_per_K,name,gamma,replay_step_ns,source_file,source_setting_mV,current_uA,temperature_min_K,temperature_max_K,temperature_mean_K,measured_resistance_mean_ohm,replayed_resistance_mean_ohm,resistance_rmse_ohm,resistance_log_rmse,fraction_above_major_heating_branch,late_invalid_resistance_fraction,outside_temperature_calibration_fraction,smoothing_window
0.39,0.092623508,0.0036751265,upper_Cth,0.956269682,0.5,750mv0_converted.csv,750.0,570.4337430744487,342.38737864087415,342.62316863668144,342.49232892989113,317.67631504893757,61.08262656938912,256.7052540676896,1.648879771081464,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.956269682,0.5,800mv0_converted.csv,800.0,606.6551780288738,344.1877084192921,344.334152024176,344.2590487552981,298.2108713285761,32.88876920643419,265.35055572084366,2.2046259216403454,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.956269682,0.5,850mv0_converted.csv,850.0,646.2233016263873,346.0431674023627,346.3005810535329,346.1527256010942,279.40774791155536,22.611630317008142,256.8053241362906,2.5141904632037764,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.956269682,0.5,900mv0_converted.csv,900.0,682.8259268820619,347.3145425886706,347.49963052103345,347.4227439163849,260.6128530389083,20.341813342406017,240.2767996196449,2.5503456637870037,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.956269682,0.5,950mv0_converted.csv,950.0,722.372921341621,348.99698981003866,349.3253440859524,349.18487835217127,245.00311323851165,18.913230914880735,226.0967207330821,2.561393721887846,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,1000mv0_converted.csv,1000.0,759.2191989197131,350.3239035662452,350.62274502771066,350.5172026025015,230.55558060730556,18.541698871272626,212.02403165269766,2.520446663026961,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,100mv0_converted.csv,100.0,76.17083384633712,317.9183576780293,317.9645603440955,317.94385972308123,2245.5564588875172,2350.9217517210705,107.94458271370335,0.04708134110575345,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,1100mv0_converted.csv,1100.0,834.7865599618726,354.0688246140594,354.2922365938447,354.20057680153866,209.96291429798154,18.248775576600934,191.73390607470694,2.442782148876547,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,1200mv0_converted.csv,1200.0,908.6058899457871,356.9204625337599,357.2684606352398,357.1092970141964,190.4078320014925,18.22081998315188,172.2057326273502,2.3465523494671783,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,150mv0_converted.csv,150.0,114.17150902555795,321.811182167639,321.87374163010156,321.84439258016755,2105.387001524954,2135.6758199257424,33.03524361096799,0.015617468494232315,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,200mv0_converted.csv,200.0,152.35217904164247,326.6266658230721,326.75185822008086,326.72068715869665,1957.2703914348324,1896.7169709158416,61.35116591063144,0.031812428180952715,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,250mv0_converted.csv,250.0,189.60094286792295,330.7605601442038,330.9408264423609,330.8792823496039,1680.6169070790982,1681.4088424833694,5.269111110116817,0.0031339846652693204,0.40594059405940597,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,300mv0_converted.csv,300.0,228.7136509323431,328.5137809612165,329.4533442256637,328.9691973430048,1017.9021323048438,1787.8896907390933,783.2869810194429,0.5905976561301072,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,350mv0_converted.csv,350.0,267.07439601247086,327.5530991017443,328.70829682061265,328.0948282148712,711.7171214286312,1831.0346244585396,1127.230979616261,0.9818242875312325,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,400mv0_converted.csv,400.0,303.3911472089279,329.62385497642106,330.56780564858275,330.1079763368657,618.8494207894227,1726.733727181312,1111.859157828047,1.0480751272225606,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,450mv0_converted.csv,450.0,341.9425303334189,331.2788946585987,332.04492861109395,331.6702363741402,543.6778432052596,1623.8806986289449,1082.0415492273055,1.106306401580403,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,500mv0_converted.csv,500.0,381.06588239966646,333.32824120230043,333.9386604967586,333.63188785267783,488.4121672435573,1422.0511051593442,934.842750710506,1.0760185645677525,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,50mv0_converted.csv,50.0,37.79944238139679,315.30837131018416,315.32429843547084,315.3172363195334,2317.5257234282963,2511.264788637067,196.53184383326646,0.08164541592936089,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,550mv0_converted.csv,550.0,419.61731636118117,335.3489405707828,335.862278883971,335.6175595178661,441.17624883923725,1066.119532821202,626.3778533984463,0.8870987539382258,0.0,0.0,0.0,
