bootstrap_sample,selected_trace_indices,fit_start_ns,fit_stop_ns,ambient_temperature_K,S_e_mW_per_K,C_th_pJ_per_K,tau_th_ns,fit_rmse_K
27.0,"2,2,0",16.0,35.0,314.5305194534736,0.003537126612696315,0.03655312379714435,10.334129308783856,0.9108593275483238
28.0,"1,0,2",14.0,36.0,314.2945441805584,0.0034876131348461187,0.045695426120878235,13.10220610890503,0.8474395412839322
29.0,"2,1,0",14.0,33.0,314.4031629444256,0.003875826551744041,0.06210415005571339,16.023459570905676,0.7638677440798977
30.0,"2,2,0",15.0,33.0,314.4572328689048,0.004122522937081061,0.04722941756619028,11.456435364221626,0.8525483076124561
31.0,"1,0,2",16.0,35.0,314.39669725670683,0.003634538236637061,0.061810990878562566,17.00655952811067,1.007362787206387
32.0,"0,0,2",13.0,36.0,314.3721198724573,0.003636699291394721,0.05243092072273042,14.417172419725276,0.900171193511301
33.0,"0,1,1",14.0,37.0,314.54281222240775,0.00357624201957293,0.04989935765890062,13.953014752860472,0.7773278478333653
34.0,"2,0,2",13.0,33.0,314.3357128861996,0.003556360973323901,0.06711635647327176,18.872200256584875,0.76367742968129
35.0,"0,0,2",15.0,33.0,314.54227970586345,0.0038541281193052415,0.05493741045026549,14.254173382323549,0.6899373786183062
36.0,"0,2,2",17.0,34.0,314.48488053553945,0.004103654958454976,0.052768105308086274,12.85880656202963,0.8021945818342572
37.0,"0,2,2",13.0,33.0,314.31274330402397,0.003681005528567494,0.04783697871149428,12.995628053324495,0.9001482421538306
38.0,"0,2,0",15.0,34.0,314.30292889944116,0.003625259728522507,0.052774856035035275,14.557537938542112,0.7387524033262594
39.0,"1,0,1",16.0,35.0,314.52652133803815,0.003749856828869441,0.047018137123926704,12.538648612379792,0.7503233370334657
40.0,"0,0,2",13.0,36.0,314.51472970072035,0.003639375091237631,0.06843907438618506,18.80517195135036,0.9565447042259347
41.0,"0,1,2",15.0,34.0,314.4059348663835,0.0035931620844591753,0.04426680655499924,12.319735518321895,0.7547974608032924
42.0,"0,0,1",17.0,36.0,314.5364494630618,0.003848606059386777,0.04559579713648032,11.84735367374685,0.88413460587623
43.0,"0,0,1",14.0,37.0,314.4126233855638,0.004013285690833269,0.02296654495483545,5.722628968900282,1.3285167261740538
44.0,"0,0,2",16.0,34.0,314.3270900840052,0.003748985294236796,0.05175036345889915,13.803832076496391,0.8006994227162566
45.0,"2,2,0",14.0,33.0,314.2575622016429,0.003884837447966977,0.04623784926652922,11.902132299184496,0.8667803715148007
46.0,"2,0,1",17.0,36.0,314.47892381377306,0.0035344319345865373,0.03393761054302865,9.601998615655535,0.9790405959882326
47.0,"1,0,1",16.0,33.0,314.39257629360105,0.003716598629400937,0.04911658806013679,13.215467409256858,0.6336449936054469
48.0,"2,2,1",13.0,35.0,314.4089541508329,0.003508804082255149,0.04675737616984278,13.325730098840765,0.6952201561475855
49.0,"1,1,1",13.0,33.0,314.288846998901,0.00346195309211227,0.04982333438485599,14.391683844120738,0.46516834680743374
50.0,"2,1,1",16.0,33.0,314.29968334401786,0.0036110014151549334,0.06678665039714828,18.49532656421923,0.5739646952318018
51.0,"0,0,2",14.0,33.0,314.4590292244246,0.0036897041276309508,0.04615783622058198,12.509901776384046,0.7533146312392203
52.0,"0,0,2",14.0,36.0,314.4856215045905,0.003569003131287402,0.06124574133390115,17.160461641794285,1.197877663421724
