candidate_id,C_pF,tau_th_ns,C_th_pJ_per_K,gamma,mean_feature_score,sustained_currents,worst_feature_score
98,0.0,11.90870637629186,0.0442141930202159,0.956269682,64.25504407327337,0,88.4600624023901
42,0.0,6.0,0.0222765722605632,0.5,64.39802178554966,0,88.84920061294106
91,0.0,9.0,0.03341485839084481,0.956269682,64.40002870529929,0,88.63418767528275
1,0.39,6.0,0.0222765722605632,0.1569637099004186,64.46698826263292,0,91.76620623140683
43,0.39,6.0,0.0222765722605632,0.5,64.7692113615802,0,93.24133641167609
35,0.0,24.0,0.0891062890422528,0.1569637099004186,64.78441762845138,0,91.028836880494
77,0.0,24.0,0.0891062890422528,0.5,64.78441762845138,0,91.028836880494
119,0.0,24.0,0.0891062890422528,0.956269682,64.78441762845138,0,91.028836880494
15,0.39,11.90870637629186,0.0442141930202159,0.1569637099004186,64.80567755676573,0,93.3152993627677
82,8.0,24.0,0.0891062890422528,0.5,64.82982341880667,0,94.59351435924287
22,0.39,13.026,0.04836243837768271,0.1569637099004186,64.98074498672636,0,93.45326996529933
0,0.0,6.0,0.0222765722605632,0.1569637099004186,65.11069289517162,0,89.45954131986471
10,4.0,9.0,0.03341485839084481,0.1569637099004186,65.17455640588317,1,115.53606327373066
84,0.0,6.0,0.0222765722605632,0.956269682,65.21147601625849,0,89.53877804606078
50,0.39,9.0,0.03341485839084481,0.5,65.45532851459869,0,93.35860817367072
45,4.0,6.0,0.0222765722605632,0.5,65.6334074130623,1,121.14499409797696
74,6.835494476281913,18.0,0.06682971678168961,0.5,65.77157212874985,0,97.60921904379583
57,0.39,11.90870637629186,0.0442141930202159,0.5,65.83516592541895,0,93.04104330030339
113,0.39,18.0,0.06682971678168961,0.956269682,65.97627367715917,0,94.30906019756317
64,0.39,13.026,0.04836243837768271,0.5,66.04192528186566,0,93.32789780759703
29,0.39,18.0,0.06682971678168961,0.1569637099004186,66.27619602688236,0,95.29875677031838
71,0.39,18.0,0.06682971678168961,0.5,66.35251473853914,0,94.64968733210925
92,0.39,9.0,0.03341485839084481,0.956269682,66.77946377361141,0,93.2598807602628
106,0.39,13.026,0.04836243837768271,0.956269682,66.81318681233908,0,93.6811351292865
99,0.39,11.90870637629186,0.0442141930202159,0.956269682,66.89706017196026,0,93.40320820025991
85,0.39,6.0,0.0222765722605632,0.956269682,67.03123175182485,0,94.13680139615944
36,0.39,24.0,0.0891062890422528,0.1569637099004186,67.17609615791908,0,97.44029799862837
78,0.39,24.0,0.0891062890422528,0.5,67.17609615791908,0,97.44029799862837
120,0.39,24.0,0.0891062890422528,0.956269682,67.17609615791908,0,97.44029799862837
16,2.0,11.90870637629186,0.0442141930202159,0.1569637099004186,71.73324081353758,0,107.89803011803666
23,2.0,13.026,0.04836243837768271,0.1569637099004186,72.01189964194812,0,109.05942819900525
44,2.0,6.0,0.0222765722605632,0.5,72.0143790339717,0,109.32980794616715
30,2.0,18.0,0.06682971678168961,0.1569637099004186,72.1939232541865,0,108.2570984609913
86,2.0,6.0,0.0222765722605632,0.956269682,72.83476337463445,0,106.86785307886403
