source_setting_mV,current_uA,legacy_detected,legacy_frequency_MHz,late_frequency_MHz,late_peak_frequency_MHz,late_peak_period_cv,late_mean_mV,late_vpp_mV,late_robust_vpp_mV,late_periodic_vpp_mV,late_coherence,minimum_window_periodic_vpp_mV,amplitude_retention,sustained,amplitude_ratio,frequency_relative_error,frequency_comparable,mean_error_mV,retention_log_error,feature_score,candidate,dt_ns
750.0,570.0736739678696,True,111.11111111111111,112.82544942298571,111.11111111111111,0.033707865168539325,121.39272372525537,37.08427240377087,29.39810123987293,26.408843736128524,0.9353658656492211,20.52419575456201,0.26981880017975834,False,2.1159760202594726,0.848304583391716,True,-59.69083993811091,-1.2665615855514663,24.241164649126464,reference,0.00625
800.0,606.2950294894458,True,125.0,10.00000611858057,,,115.33340477134004,0.7405736269256948,0.4856719753943537,0.1863345208581044,0.06329238982428342,0.7372283762504264,0.017845334100164593,False,0.052486353559741114,1.0,False,-65.54818136727383,-4.054096660831134,48.123314099414316,reference,0.00625
850.0,645.4819548424252,False,,129.69683174636532,,,109.59376293475457,0.6452424710704605,0.366322636773063,0.09402176916469357,0.07998622252520005,0.07227294771534756,0.06647031081280115,False,0.06604334771540951,1.0,False,-70.84399647118606,-2.6778932015959604,38.397109318411765,reference,0.00625
900.0,682.444649204679,False,,138.65198851632312,,,104.70404049077426,0.6195330663523606,0.36523233153798174,0.08817620900243342,0.0626341230804327,0.08746711357803937,0.38285009082574645,False,0.06584796659899449,1.0,False,-73.17979218249305,-1.1194975682869077,35.53244160066054,reference,0.00625
950.0,721.2714260182299,False,,23.793959381645696,,,100.00790548257207,0.5934590644664439,0.46850331443731363,0.06046158596537612,0.022609156439010847,0.0571051898454226,0.8551938583061373,False,0.08446675701101847,1.0,False,-76.79525818079422,-0.10785330888493647,34.80837691866416,reference,0.00625
1000.0,756.6243660265701,False,,20.97947886344313,,,96.01244739920159,1.430757124183856,1.2135187971036459,0.12106171606104403,0.011671047273489443,0.09295872140900933,0.9194244874751452,False,0.2013570937832719,1.0,False,-78.84273111564988,0.006493080523235896,33.25076356927065,reference,0.00625
1100.0,834.7865599618726,False,,13.300975722338366,,,88.78766343596223,1.1949927386364863,0.8625514230420777,0.19816005742386858,0.06505024340669785,0.08545451368702361,0.8866404691309471,False,0.1096472965502348,1.0,False,-86.46144280166149,0.25530743813340556,37.75275417996476,reference,0.00625
1200.0,906.8051472486442,False,,18.287595368088017,,,83.06708460469343,1.136683448467835,0.9184693625453093,0.10168245221394887,0.009930194631828204,0.07530493829682752,0.9084274306202244,False,0.11675408526387282,1.0,False,-89.81344311807885,-0.18953307825831914,37.88489531559103,reference,0.00625
50.0,37.99008122008859,False,,10.469392000209151,,,95.78204175714552,0.5430886041234544,0.5114166620013094,0.15680807448426168,0.5106844463584415,0.3125495822812949,0.0771524668932281,False,0.14866763430270633,1.0,False,7.306002648234653,-2.4187028985146384,30.84397698084974,best_features,0.025
100.0,76.17083384633712,False,,10.523247229866481,,,178.75483041345254,0.38284102352221794,0.3174550340478959,0.1519919873198919,0.5219584078920538,0.2518840539834979,0.030272474107958375,False,0.06168127810983645,1.0,False,7.611863086719865,-4.0543283306786275,39.65978824424888,best_features,0.025
