window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,source_setting_mV,current_uA,candidate_id,C_pF,tau_th_ns,C_th_pJ_per_K,gamma
3,200.0,250.0,176.46601491107216,259.43669461343734,254.55105863667805,238.9735499024497,0.8716400665935435,500.0,380.88580812995247,33,8.0,18.0,0.06682971678168961,0.1569637099004186
0,50.0,100.0,115.97001033505929,18.227830828605903,12.20703428372562,2.196683526663603,0.058805560197992435,800.0,606.2950294894458,33,8.0,18.0,0.06682971678168961,0.1569637099004186
1,100.0,150.0,115.35834920565516,0.4029428086196134,0.33201979667886405,0.09771099239803645,0.09432276700406272,800.0,606.2950294894458,33,8.0,18.0,0.06682971678168961,0.1569637099004186
2,150.0,200.0,115.29576485609526,0.41791040068190455,0.34660788447168045,0.1429615412194275,0.1855268576341611,800.0,606.2950294894458,33,8.0,18.0,0.06682971678168961,0.1569637099004186
3,200.0,250.0,115.35080895241747,0.42574807775247336,0.35759454062232976,0.09331522838539302,0.0750577752664291,800.0,606.2950294894458,33,8.0,18.0,0.06682971678168961,0.1569637099004186
0,50.0,100.0,238.7096121248963,388.2500251727774,383.42809036386734,411.75524745202495,0.6486997779583344,300.0,228.15229898524512,34,12.0,18.0,0.06682971678168961,0.1569637099004186
1,100.0,150.0,275.3587916096318,174.20434718516088,147.01625808608995,160.68356923727794,0.9288363230726197,300.0,228.15229898524512,34,12.0,18.0,0.06682971678168961,0.1569637099004186
2,150.0,200.0,309.1725105702915,100.40557223425273,86.29417172209884,69.71413387033792,0.9903406864694629,300.0,228.15229898524512,34,12.0,18.0,0.06682971678168961,0.1569637099004186
3,200.0,250.0,312.0656040422906,24.206608326551986,23.87133761012393,17.320936101645792,0.9934359314638423,300.0,228.15229898524512,34,12.0,18.0,0.06682971678168961,0.1569637099004186
0,50.0,100.0,132.58677546789195,348.5208778122389,338.1579182776244,222.76399178005732,0.6059242452621936,500.0,380.88580812995247,34,12.0,18.0,0.06682971678168961,0.1569637099004186
