window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,source_setting_mV,current_uA,candidate,dt_ns
0,50.0,100.0,127.81859560918856,184.82408745854974,164.15693052582668,163.24313466012788,0.894414864366088,700.0,532.8566832813709,reference,0.025
1,100.0,150.0,128.33315783063617,162.77471063371686,162.30761636032292,158.64036110074298,0.912286704060159,700.0,532.8566832813709,reference,0.025
2,150.0,200.0,128.21179357369178,162.04683417765014,160.8958727350259,157.40681215953526,0.9171808984858887,700.0,532.8566832813709,reference,0.025
3,200.0,250.0,128.2548698869233,159.9717220277849,159.3839553330252,156.7322817960667,0.9211434255996933,700.0,532.8566832813709,reference,0.025
0,50.0,100.0,119.18070187344308,101.19341838088768,90.28304759228624,90.28224836115234,0.9451668190851579,750.0,570.0736739678696,reference,0.025
1,100.0,150.0,123.95030198826247,75.54319136464733,71.11849159105162,73.5678926288631,0.9778145888334483,750.0,570.0736739678696,reference,0.025
2,150.0,200.0,119.99233635889188,65.4400024032492,62.14442013419618,63.521548066717216,0.9838746778397705,750.0,570.0736739678696,reference,0.025
3,200.0,250.0,122.56177275275093,57.71309042237563,55.05162570150807,56.972928308213774,0.9872652788392631,750.0,570.0736739678696,reference,0.025
0,50.0,100.0,115.17761300991711,50.15195376326656,34.84145907121898,26.68287084734665,0.7781717232492016,800.0,606.2950294894458,reference,0.025
1,100.0,150.0,115.26550326239482,7.150790772818127,4.938615356350198,3.590266860846474,0.7532149021166632,800.0,606.2950294894458,reference,0.025
2,150.0,200.0,115.2804216946117,1.265176613487398,0.8398309384136695,0.543372437110808,0.507004246187284,800.0,606.2950294894458,reference,0.025
3,200.0,250.0,115.34825496899603,0.49426553890509695,0.43578611970163195,0.07424185628427034,0.03251197510094672,800.0,606.2950294894458,reference,0.025
0,50.0,100.0,109.7896102090056,16.905868275795044,9.296209729488993,2.790030286496608,0.1303254841771927,850.0,645.4819548424252,reference,0.025
1,100.0,150.0,109.64443127342405,0.6456982508845925,0.4188447742620127,0.09416720806596197,0.0530190987163921,850.0,645.4819548424252,reference,0.025
2,150.0,200.0,109.59168357099473,0.4566161083238569,0.3259949051678035,0.027270395552771116,0.008050967391737496,850.0,645.4819548424252,reference,0.025
3,200.0,250.0,109.53755147742253,0.4424426752543553,0.3148968049574563,0.07008904401563151,0.05107275225867114,850.0,645.4819548424252,reference,0.025
0,50.0,100.0,104.84011313115825,4.2435910637418175,2.002123466723191,0.6330051554706289,0.11612359702367347,900.0,682.444649204679,reference,0.025
1,100.0,150.0,104.74218482092027,0.40432761915910476,0.3525595077513941,0.020051158881763637,0.005094357193037968,900.0,682.444649204679,reference,0.025
2,150.0,200.0,104.72471680201078,0.3910050864926262,0.32059850464209205,0.048897798228142275,0.02389418252342912,900.0,682.444649204679,reference,0.025
3,200.0,250.0,104.67461662583165,0.5022018558366454,0.36878167083618507,0.027301002390538894,0.005903380086641374,900.0,682.444649204679,reference,0.025
0,50.0,100.0,100.22134997537964,1.124703693720022,0.5360557915492734,0.11382941914001818,0.050447717970545924,950.0,721.2714260182299,reference,0.025
1,100.0,150.0,100.03488136130946,0.4887210549422889,0.43951047618510586,0.06913571089997268,0.030567273244672788,950.0,721.2714260182299,reference,0.025
2,150.0,200.0,100.017171464393,0.4706361248902482,0.37991804655629835,0.053894923565438096,0.023101095103907898,950.0,721.2714260182299,reference,0.025
3,200.0,250.0,100.04528478544027,0.5224767666162933,0.4102521553515004,0.036587272204061355,0.007055000425029823,950.0,721.2714260182299,reference,0.025
0,50.0,100.0,96.27029501138324,1.4751771215681089,1.2948742335611456,0.11253996810667033,0.005408461979110046,1000.0,756.6243660265701,reference,0.025
1,100.0,150.0,96.0193769571098,1.705110444722763,1.3713795153882131,0.20172723548391955,0.025935961709516397,1000.0,756.6243660265701,reference,0.025
