window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,fit_mode,source_setting_mV
1,100.0,150.0,95.86418979770431,5.382568017827836,4.297928274430362,0.838226517678599,0.018930745641579927,constrained,50.0
2,150.0,200.0,95.59273227602088,5.546468618119505,4.868008273858877,0.4102294633358123,0.0061820953970807,constrained,50.0
3,200.0,250.0,96.08917648774501,3.9347570154783256,3.8888327381813923,0.05573482029536809,0.00010615185004203553,constrained,50.0
0,50.0,100.0,180.07670012721218,5.318551802634886,4.652793841112526,1.9202849296522626,0.020855876608002366,constrained,100.0
1,100.0,150.0,179.40872956522887,4.706198326331503,4.063828615592911,2.213467076684406,0.011826961532671043,constrained,100.0
2,150.0,200.0,179.33597236486423,4.7532996221594885,4.651092670544415,0.38903969261177085,0.0007695010219488374,constrained,100.0
3,200.0,250.0,179.4577274801892,5.20066921779744,4.597112953078465,1.56222325938905,0.004692333522934855,constrained,100.0
0,50.0,100.0,247.96999870266345,10.827293629721282,8.819330503390546,0.6425409883878991,0.011140320983845764,constrained,150.0
1,100.0,150.0,245.64642403259091,6.287616015016596,5.747113599305351,0.3347909371329178,0.0032974543543182744,constrained,150.0
2,150.0,200.0,245.5004429853278,6.455932761820009,5.9032685046069275,0.4525602883430146,0.006296950603169704,constrained,150.0
3,200.0,250.0,245.6225717499817,5.3362330885976235,4.681476193377307,0.1296212756190655,0.0006030562142619322,constrained,150.0
0,50.0,100.0,299.4555363648459,14.742429635843564,12.053986275579007,2.921423285838583,0.27809774644323393,constrained,200.0
1,100.0,150.0,295.3547641365091,5.495776095793303,4.736301562448432,0.33363011417054556,0.0036154158822157,constrained,200.0
2,150.0,200.0,295.1973951231912,5.481999367138826,5.094302841617207,0.3117643344995558,0.0027047318544660692,constrained,200.0
3,200.0,250.0,295.46722948860423,5.73035708529261,5.219650236105622,0.40485102111881865,0.0028525067105530377,constrained,200.0
0,50.0,100.0,335.1870244005389,20.85641290334445,19.346593779612988,10.77473950221188,0.7284216685014027,constrained,250.0
1,100.0,150.0,328.6720127149896,3.979061351428925,3.672452352612538,0.5850113336554347,0.006053517571368516,constrained,250.0
2,150.0,200.0,328.32237711438967,3.607761836216298,3.01551528357777,0.4083298600408702,0.006594676912107134,constrained,250.0
3,200.0,250.0,328.4635191648919,3.504308775311131,3.2693543561694582,0.6353624263155068,0.011934921391328013,constrained,250.0
0,50.0,100.0,341.74000124645676,35.2903977045313,30.601178765469797,26.747582871230556,0.9487094214394812,constrained,300.0
1,100.0,150.0,332.9921104289962,2.8244864704501538,2.5754289452926287,0.5858917466905068,0.012218540176941795,constrained,300.0
2,150.0,200.0,332.91569856540997,3.075322518660869,2.9168829957198454,0.8541579036756111,0.009883672834917423,constrained,300.0
3,200.0,250.0,332.911181639566,3.607488654110398,2.929442406736314,3.5960193626236934,0.07102569756169874,constrained,300.0
0,50.0,100.0,315.1202513875784,25.289833422139964,15.298896452060887,5.40532240643269,0.23961339455996344,constrained,350.0
1,100.0,150.0,311.59761707850606,2.6416217161147983,2.1543980295497818,0.08020746685503125,0.0013142068276091878,constrained,350.0
2,150.0,200.0,311.3091925816907,2.6062731755242794,2.2920882626841035,0.11769760129449494,0.0026502795791599754,constrained,350.0
3,200.0,250.0,310.8273231782158,2.762931780533222,2.327852035568526,0.09011860598426792,0.001176497268466914,constrained,350.0
0,50.0,100.0,287.84974419309975,6.0589914394217885,4.871636684243867,10.008755127716741,0.39877659958932254,constrained,400.0
1,100.0,150.0,286.82384447845857,2.325885952906958,1.8866553557077168,0.961287095683472,0.02576476841346309,constrained,400.0
2,150.0,200.0,286.92995335641183,3.4151105791919463,2.2332488258116427,0.8571690756095683,0.013627141650105146,constrained,400.0
3,200.0,250.0,286.56592273290255,2.437948980873216,2.227967072511035,1.1905097608144857,0.03981458233404156,constrained,400.0
0,50.0,100.0,263.60542714140314,2.9053975163641326,2.4091207676924,3.1941218251588603,0.08879704831179447,constrained,450.0
1,100.0,150.0,262.8130529806501,1.8799547392573004,1.4775081976457614,0.8727853310612499,0.018973095307952992,constrained,450.0
