branch,current_uA,T_K,R_ohm,derivative_halfwidth_K,dR_dT_ohm_per_K,Ccrit_pF,maximum_real_eigenvalue_per_s
metal,721.6667853309548,334.2076410789474,139.7756805419922,0.02,-69.86618041992188,10.470374591832217,-916794645.4926419
metal,721.6667853309548,334.2076410789474,139.7756805419922,0.04,-69.92301940917969,10.460908074875459,-917547194.7585087
metal,758.4127832621615,334.3886260986342,127.71537017822266,0.01,-63.4124755859375,11.42846217389582,-911097384.7615414
metal,758.4127832621615,334.3886260986342,127.71537017822266,0.02,-63.461875915527344,11.418570016182672,-911806457.7817808
metal,758.4127832621615,334.3886260986342,127.71537017822266,0.04,-63.44032287597656,11.422883793024894,-911497080.9468834
metal,834.6274425945287,334.74201965332145,107.31974792480469,0.01,-52.25982666015625,13.629421864979301,-896491266.9671899
metal,834.6274425945287,334.74201965332145,107.31974792480469,0.02,-52.301979064941406,13.617204995179057,-897201279.6261294
metal,834.6274425945287,334.74201965332145,107.31974792480469,0.04,-52.2862434387207,13.62176302861712,-896936219.3865155
metal,907.9133220095645,335.0594329833997,92.10895538330078,0.01,-43.74961853027344,16.04749177135452,-879207402.41297
metal,907.9133220095645,335.0594329833997,92.10895538330078,0.02,-43.78700256347656,16.032237716329888,-879935119.4104018
metal,907.9133220095645,335.0594329833997,92.10895538330078,0.04,-43.771934509277344,16.038382544384252,-879641795.4532684
