R0_ohm,Ea_over_k_K,Ea_eV,Rm_ohm,w_K,Tc_K,beta_per_K,T_cooling_transition_K,T_heating_transition_K,bootstrap_sample
0.40823504628874285,2753.1569985711153,0.2372487137929496,17.965302813725934,6.82797554017413,333.0559916289702,0.27702763210300324,329.64200385888313,336.4699793990573,26.0
0.5351546279387216,2660.4031176024087,0.22925580275643734,18.004743684181076,6.84910695155691,333.62469978127257,0.3108104762605238,330.2001463054941,337.049253257051,27.0
0.6892447930543361,2587.8601349976825,0.2230045321871934,18.304589168519826,6.959469698402791,333.5402622440593,0.304855583274104,330.0605273948579,337.0199970932607,28.0
0.9035969702723022,2500.7901647264325,0.21550142267779546,18.344314190944036,6.906270644995271,333.36097231171703,0.2879386892687013,329.9078369892194,336.8141076342147,29.0
0.9849685758977847,2466.9388415249705,0.21258434134392876,18.03917846025351,7.090359369880808,333.2969865145648,0.2926113185121812,329.7518068296244,336.84216619950524,30.0
0.4784066001193679,2692.479545585805,0.23201993545431204,18.42302422793189,7.033792798020208,333.6624505980711,0.3095007339279314,330.145554199061,337.17934699708115,31.0
0.9792571988787994,2472.8915421364236,0.21309730539370678,18.16957311676378,6.840577430869328,333.3623208480082,0.29684344609255137,329.94203213257356,336.78260956344286,32.0
1.0094506195058088,2465.9738290235496,0.21250118300066134,18.34805321164329,6.939440456203634,333.637504798881,0.3165557182955582,330.1677845707792,337.10722502698286,33.0
1.1202144151085112,2436.361896445609,0.20994942408510148,18.5572133815138,7.027050430177785,333.3616650407902,0.2954225226231232,329.84813982570125,336.8751902558791,34.0
1.0677612018604423,2448.6659913560925,0.21100970894841062,18.09512993077219,6.927320488852897,333.0742971114869,0.2848912573804834,329.61063686706046,336.5379573559133,35.0
0.6755365580498761,2584.8513143552545,0.22274525208517953,17.870314865171068,7.061603299866306,333.6746799388035,0.30605091005838125,330.1438782888703,337.20548158873663,36.0
0.6202292255370492,2616.633380110129,0.22548401860882505,17.90942551843448,7.040958443156904,333.60400700329893,0.3170645835764759,330.0835277817205,337.1244862248774,37.0
